,Pitcher,Control,Pis,Mus,Covariances
31,"Webb, Logan",5.773309002,"[0.37992902,0.12336532,0.2606829,0.17138619,0.06463657]","[[-0.03503819,1.66890478],[0.79588461,0.95367198],[-0.77717296,1.90384863],[0.58038444,1.97174432],[0.00950846,0.87963112]]","[[[0.11609154,-0.03914665],[-0.03914665,0.06942857]],[[0.09149865,0.00520837],[0.00520837,0.06593955]],[[0.11399464,-0.03752409],[-0.03752409,0.24951287]],[[0.16301787,-0.09274732],[-0.09274732,0.11309615]],[[0.03390332,-0.00962793],[-0.00962793,0.03583954]]]"
20,"Gallen, Zac",6.867588982,"[0.59023752,0.15303989,0.25672259]","[[-0.25827821,1.41479322],[0.5198562,1.38278883],[-0.85125682,2.19776876]]","[[[0.15223499,0.01793649],[0.01793649,0.19308316]],[[0.02135822,-0.03728333],[-0.03728333,0.31347897]],[[0.12568905,-0.00424433],[-0.00424433,0.1229368]]]"
28,"López, Pablo",7.435632333,"[0.45292236,0.54707764]","[[-0.77716043,2.20209456],[-0.20610604,1.53597986]]","[[[0.23240697,0.02800492],[0.02800492,0.17378947]],[[0.18463883,0.04039445],[0.04039445,0.18348177]]]"
19,"Hendricks, Kyle",7.560086873,"[0.36780127,0.63219873]","[[-0.64125895,1.06661295],[-0.87086095,2.09197862]]","[[[0.18525615,-0.046266],[-0.046266,0.16297658]],[[0.17400127,-0.0443066],[-0.0443066,0.23621315]]]"
16,"Williams, Trevor",7.681150029,"[0.58427155,0.41572845]","[[-0.82603889,1.76638526],[-0.44599707,1.07287334]]","[[[0.33011367,-0.00041811],[-0.00041811,0.14835683]],[[0.31478253,-0.00880896],[-0.00880896,0.09909259]]]"
36,"Alcantara, Sandy",7.6912522,"[0.17388255,0.55951269,0.26660476]","[[0.26824757,1.06901365],[-0.81211493,2.30718497],[-0.308127,1.49430509]]","[[[0.08079333,0.00753597],[0.00753597,0.19382513]],[[0.26221885,-0.06125087],[-0.06125087,0.27758756]],[[0.09423408,0.08016165],[0.08016165,0.16013453]]]"
13,"Kelly, Merrill",7.948548535,"[0.33534177,0.66465823]","[[-0.63679709,2.16641237],[-0.388483,1.28967101]]","[[[0.33081739,-0.07625236],[-0.07625236,0.11419626]],[[0.29797998,-0.10253657],[-0.10253657,0.15332521]]]"
8,"Greinke, Zack",8.122896068,"[0.09624218,0.20382512,0.6999327]","[[-0.1315398,1.72566854],[-0.75141005,2.45391474],[-0.65556802,1.33228346]]","[[[0.05674564,0.01303062],[0.01303062,0.00544572]],[[0.21634279,-0.03116345],[-0.03116345,0.05913981]],[[0.18995092,-0.0550243],[-0.0550243,0.25545998]]]"
7,"Brito, Jhony",8.251336885,"[0.17986088,0.33241609,0.48772304]","[[-0.37877911,1.53014501],[-0.18403184,2.14982382],[-1.00755129,2.20563973]]","[[[0.25526615,0.07087097],[0.07087097,0.03477842]],[[0.14588309,0.00431525],[0.00431525,0.31720174]],[[0.16347935,-0.06141452],[-0.06141452,0.43322491]]]"
12,"Williams, Devin",8.342565653,"[0.40271094,0.59728906]","[[-0.64109799,1.86984555],[-0.03364011,1.23933575]]","[[[0.16773366,0.01004701],[0.01004701,0.12932294]],[[0.32452765,0.05731175],[0.05731175,0.20400555]]]"
15,"Cabrera, Edward",8.432995008,"[0.28110791,0.71889209]","[[0.12743171,1.27180391],[-0.804276,1.98041475]]","[[[0.0930171,0.04590495],[0.0459049,0.22353722]],[[0.14752773,-0.04832015],[-0.04832015,0.40338432]]]"
24,"Canning, Griffin",8.452709036,"[0.33763787,0.1667067,0.49565544]","[[-0.64935871,2.6981303],[0.43934361,1.87701742],[-0.41505323,1.64616148]]","[[[0.15710101,-0.0649739],[-0.0649739,0.15013662]],[[0.07530915,0.0308984],[0.0308984,0.36462137]],[[0.26267706,-0.07272132],[-0.07272132,0.31349117]]]"
9,"Gibson, Kyle",8.604818028,"[0.23637349,0.56375003,0.19987648]","[[-0.30151016,1.20589288],[-0.42356801,2.05696737],[0.41757134,1.12699788]]","[[[0.23526909,0.02779267],[0.02779267,0.23811909]],[[0.29500485,-0.09064744],[-0.09064744,0.22822694]],[[0.08233075,0.01426269],[0.01426269,0.12635975]]]"
2,"Dunning, Dane",8.611421947,"[0.32236461,0.67763539]","[[0.10216452,1.46955156],[-0.74826387,2.30107061]]","[[[0.16130283,-0.06313483],[-0.06313483,0.28791373]],[[0.20995072,0.01890996],[0.01890996,0.34395368]]]"
25,"Bello, Brayan",8.657192475,"[0.09285169,0.35081017,0.55633815]","[[-1.75380235,2.35857556],[0.22484935,1.56908837],[-0.68277927,1.88701745]]","[[[0.02175508,-0.00865597],[-0.00865597,0.31627532]],[[0.15396494,-0.07565525],[-0.07565525,0.34248694]],[[0.20820555,-0.12114578],[-0.12114578,0.36176039]]]"
3,"Ober, Bailey",8.753140633,"[0.59701349,0.40298651]","[[-0.10126266,1.56516575],[-0.65895648,2.69738982]]","[[[0.36021144,-0.13694803],[-0.13694803,0.23341143]],[[0.24815184,-0.0889436],[-0.0889436,0.18535402]]]"
14,"Castillo, Luis",8.799286486,"[0.51200159,0.48799841]","[[-0.90524266,1.79741441],[0.1403912,1.60281457]]","[[[0.28160876,-0.06145616],[-0.06145616,0.29104209]],[[0.24735902,-0.07384384],[-0.07384384,0.27312417]]]"
29,"Nola, Aaron",8.872318641,[1],"[[-0.53345238,1.57380952]]","[[[0.30926805,-0.11458764],[-0.11458764,0.23588887]]]"
26,"Rodriguez, Grayson",8.969279739,"[0.27340295,0.56329061,0.16330644]","[[-0.0524361,1.09045263],[-0.51670135,2.58904647],[0.27724563,1.55472473]]","[[[0.26042553,-0.09102783],[-0.09102783,0.17755719]],[[0.20229248,0.02068516],[0.02068516,0.37690544]],[[0.14730359,0.17238414],[0.17238414,0.25893448]]]"
10,"Wacha, Michael",8.998122702,"[0.13337622,0.45274429,0.41387949]","[[-0.60725007,2.91651095],[-0.01834162,1.92741977],[-0.81576957,1.62617374]]","[[[0.17993237,0.03668653],[0.03668653,0.0826621]],[[0.14146714,-0.043123],[-0.043123,0.34773789]],[[0.12884081,-0.05409933],[-0.05409933,0.39189257]]]"
1,"Giolito, Lucas",9.006475024,"[0.33246521,0.66753479]","[[-0.39864165,1.03487002],[-0.47422029,2.22521262]]","[[[0.19341306,-0.05279525],[-0.05279525,0.25809226]],[[0.18953781,-0.06875663],[-0.06875663,0.41806635]]]"
27,"Berríos, José",9.122361395,"[0.45926288,0.54073712]","[[-1.06220067,2.09396621],[-0.34489029,1.72481853]]","[[[0.22673877,-0.03339436],[-0.03339436,0.26273831]],[[0.21536328,-0.07395228],[-0.07395228,0.261286]]]"
17,"Martinez, Nick",9.278446424,"[0.72618523,0.27381477]","[[-0.5533786,1.40192071],[-0.7334774,2.69920664]]","[[[0.1832435,-0.05024534],[-0.05024534,0.45398271]],[[0.28750134,-0.13100936],[-0.13100936,0.17502268]]]"
33,"France, J.P.",9.296971368,"[0.60215951,0.39784049]","[[-0.32994963,1.70210243],[-0.66601269,2.89865717]]","[[[0.33961197,-0.13069133],[-0.13069133,0.22660414]],[[0.31165177,-0.09367108],[-0.09367108,0.15515807]]]"
37,"Carrasco, Carlos",9.346518094,"[0.14757724,0.85242276]","[[-1.43513028,1.86445654],[-0.12551161,1.3901256]]","[[[0.05122708,-0.02001752],[-0.02001752,0.15524937]],[[0.32443384,-0.10891923],[-0.10891923,0.2876441]]]"
32,"Peralta, Freddy",9.447762839,"[0.06456433,0.3417859,0.59364978]","[[-0.06880723,0.79243776],[-1.09289991,2.06547162],[-0.15789117,1.91711215]]","[[[0.07979348,0.08260284],[0.08260284,0.0885678]],[[0.13829937,-0.01590388],[-0.01590388,0.37310156]],[[0.16426522,-0.07165711],[-0.07165711,0.33363062]]]"
6,"Lorenzen, Michael",9.577522874,"[0.38241874,0.61758126]","[[0.10592073,1.17171637],[-0.70969533,2.29620243]]","[[[0.20784545,-0.01341762],[-0.01341762,0.31496242]],[[0.24584561,-0.09163766],[-0.09163766,0.39849357]]]"
11,"Clevinger, Mike",9.807612262,"[0.11640491,0.30213992,0.58145518]","[[-0.44089065,0.72498821],[-1.11192134,2.54529763]
,[-0.01148958,1.90031295]]","[[[0.34567635,-0.03794293],[-0.03794293,0.09696261]],[[0.14091728,0.00680302],[0.00680302,0.43933475]],[[0.22943712,-0.00515041],[-0.00515041,0.54859688]]]"
30,"Elder, Bryce",9.875508955,"[0.49182001,0.50817999]","[[-0.67243345,0.95045766],[-0.47662548,2.26723936]]","[[[0.20984708,-0.14762316],[-0.14762316,0.43775439]],[[0.19622878,-0.07699764],[-0.07699764,0.46345772]]]"
5,"Richards, Trevor",10.38772331,"[0.89634118,0.10365882]","[[-0.58666343,1.44002455],[-0.83575204,2.95998348]]","[[[0.31415138,-0.04815401],[-0.04815401,0.434436]],[[0.3684476,-0.07669428],[-0.07669428,0.04176148]]]"
