,Pitcher,Control,Pis,Mus,Covariances
33,"Snell, Blake",6.9219511,"[0.41683439,0.47575219,0.10741342]","[[0.86446684,1.93102642],[0.42736613,1.41890036],[0.84454174,2.85711313]]","[[[0.0839287,-0.04954349],[-0.04954349,0.16403655]],[[0.12435639,-0.01441682],[-0.01441682,0.22988627]],[[0.197445,-0.0206753],[-0.0206753,0.02767949]]]"
32,"Webb, Logan",7.250113948,"[0.46953443,0.53046557]","[[-0.15513522,2.00153148],[0.76917768,1.52010703]]","[[[0.16446264,-0.00615585],[-0.00615585,0.19298251]],[[0.17050244,-0.01560316],[-0.01560316,0.18502516]]]"
4,"Pérez, Martín",7.442004236,"[0.47939995,0.52060005]","[[0.78374333,2.17608024],[0.4597108,1.26315404]]","[[[0.22954956,0.02630841],[0.02630841,0.16137234]],[[0.17369725,0.02190192],[0.02190192,0.17586793]]]"
2,"Rodriguez, Eduardo",7.51278654,"[0.34538417,0.36489031,0.28972552]","[[0.92813224,1.41226966],[0.01463315,1.18941137],[0.57770059,2.14993025]]","[[[0.15048371,0.08861807],[0.08861807,0.30377567]],[[0.12088582,0.02928033],[0.02928033,0.25082749]],[[0.25449376,0.06497978],[0.06497978,0.12349348]]]"
37,"Freeland, Kyle",7.522029497,"[0.72810511,0.27189489]","[[0.85867858,2.50369954],[0.01083772,1.73266445]]","[[[0.12646934,0.03445457],[0.03445457,0.21076744]],[[0.1051617,-0.05768873],[-0.05768873,0.30046671]]]"
39,"Urías, Julio",7.68050622,"[0.4461275,0.30149405,0.25237845]","[[0.8270758,2.43019621],[0.90930212,1.80737651],[0.17013972,1.2567395]]","[[[0.32915469,0.0528865],[0.0528865,0.20186336]],[[0.1472464,-0.10610352],[-0.10610352,0.20763509]],[[0.0850785,0.01773459],[0.01773459,0.17031265]]]"
10,"Wacha, Michael",7.777960905,"[0.16266038,0.39467446,0.22808719,0.21457797]","[[-0.37967763,1.70675801],[-0.15935884,2.73691137],[-0.77896563,1.34161299],[0.20392854,1.2920026]]","[[[0.14924089,-0.10075735],[-0.10075735,0.0877621]],[[0.20296598,0.00391391],[0.00391391,0.28230777]],[[0.0514577,-0.0219549],[-0.0219549,0.41744232]],[[0.13045433,0.05151827],[0.05151827,0.21501675]]]"
23,"Ragans, Cole",7.782751909,"[0.20384342,0.187378,0.60877859]","[[1.18008515,2.6689227],[-0.29327472,1.05448692],[0.44157385,1.92754546]]","[[[0.07398999,-0.0377927],[-0.0377927,0.31036672]],[[0.11718189,-0.04384851],[-0.04384851,0.12336114]],[[0.13559786,-0.04277547],[-0.04277547,0.30470587]]]"
22,"Peterson, David",7.795089162,"[0.48828428,0.13679312,0.19250578,0.18241682]","[[0.30371529,2.11932243],[0.01865203,0.93855139],[1.36157836,2.47103011],[0.51479042,1.5805213]]","[[[0.17923502,0.02682269],[0.02682269,0.25048166]],[[0.31367078,-0.03190162],[-0.03190162,0.01915701]],[[0.07840908,0.02143781],[0.02143781,0.2277724]],[[0.23913821,-0.00300268],[-0.00300268,0.0436982]]]"
11,"Williams, Devin",7.898640203,"[0.14658943,0.72519189,0.12821869]","[[0.56294225,0.90485426],[-0.23269254,1.62300063],[1.07147922,1.48082248]]","[[[0.01561835,0.00557346],[0.00557346,0.11095728]],[[0.23357677,-0.02180666],[-0.02180666,0.25912373]],[[0.08330426,-0.09412097],[-0.09412097,0.24244506]]]"
