,Pitcher,NinetyFive,Five,Median Control,Pis,Mus,Covariances
18,"Eflin, Zach",5.202969725,8.715866047,7.002871514,[0.37600762 0.62399238],"[[-0.57545189 2.20407272],[0.14619647 1.37688946]]","[[[0.11650674 -0.01739751],[-0.01739751 0.172382]]:[[0.23362615 0.01797355],[0.01797355 0.19328029]]]"
22,"Germán, Domingo",5.860819489,9.404892687,7.32927562,[0.60192485 0.39807515],"[[-0.24121948 2.1210575],[0.68157929 1.4341637]]","[[[0.19170159 -0.07504998],[-0.07504998 0.3112361]]:[[0.13416457 -0.06821469],[-0.06821469 0.23427587]]]"
21,"Wainwright, Adam",6.504132202,9.642644391,7.770892839,[0.06290581 0.50527227 0.43182192],"[[0.15482494 0.71692317],[-0.65443226 2.06276825],[0.14434501 2.05099141]]","[[[0.29966193 0.03367503],[0.03367503 0.00533451]]:[[0.17029792 -0.11012934],[-0.11012934 0.41997576]]:[[0.11620087 -0.09182887],[-0.09182887 0.35900716]]]"
20,"Irvin, Jake",6.930376176,11.01604868,7.923627005,[0.30999071 0.16199299 0.5280163 ],"[[0.37993118 1.46186224],[-1.00230764 2.46928061],[0.14310462 2.57011811]]","[[[0.25374302 -0.02765391],[-0.02765391 0.17429104]]:[[0.07865586 -0.1494687],[-0.1494687 0.6125809]]:[[0.33112102 -0.13818574],[-0.13818574 0.27604497]]]"
7,"Civale, Aaron",6.893924433,9.978032467,8.001621034,[0.08594962 0.09890842 0.81514196],"[[0.41727794 0.28627569],[-0.22794696 3.01036142],[0.13736288 1.6762785]]","[[[0.30020728 -0.02726793],[-0.02726793 0.02122102]]:[[0.21432211 0.00615912],[0.00615912 0.01706659]]:[[0.22821625 -0.09316978],[-0.09316978 0.34649619]]]"
3,"Taillon, Jameson",6.328348633,11.28611729,8.196754198,[0.26288342 0.21702515 0.08703656 0.43305487],"[[0.78106874 1.03868105],[0.18651247 2.47312908],[0.34039549 2.08041923],[-0.33822331 1.7920873]]","[[[0.04398088 -0.05171014],[-0.05171014 0.27818555]]:[[0.08999793 -0.02900808],[-0.02900808 0.27710813]]:[[0.27846998 -0.0335499],[-0.0335499 0.010024]]:[[0.16795426 -0.21970199],[-0.21970199 0.71512982]]]"
12,"Burnes, Corbin",6.750117954,11.16920617,8.287782123,[0.59013479 0.40986521],"[[-0.42099811 2.02609203],[0.24301904 0.77743657]]","[[[0.23032903 0.00264101],[0.00264101 0.45932983]]:[[0.15043858 0.00581917],[0.00581917 0.32421988]]]"
4,"Maton, Phil",6.176999421,10.22227393,8.379492816,[0.30381083 0.69618917],"[[-1.04751005 2.10509641],[0.12502575 1.91062791]]","[[[0.22952091 -0.06094462],[-0.06094462 0.14960093]]:[[0.3439419 -0.06549402],[-0.06549402 0.29509584]]]"
11,"Gray, Sonny",5.298417757,11.28233607,8.54153031,[0.51732758 0.48267242],"[[0.18132825 1.34066201],[-0.31808569 2.67015401]]","[[[0.37763738 -0.18906465],[-0.18906465 0.29829227]]:[[0.381719 -0.13337742],[-0.13337742 0.23258244]]]"
5,"Johnson, Pierce",7.480952291,11.48813472,8.776186215,[0.66971586 0.33028414],"[[0.17783572 1.72511345],[-0.78211063 2.92273589]]","[[[0.25140516 -0.11502745],[-0.11502745 0.59256649]]:[[0.13753258 -0.09114738],[-0.09114738 0.35094582]]]"
6,"Cabrera, Edward",6.491939433,11.15400033,8.84156518,[0.57164464 0.42835536],"[[0.18520017 1.59332819],[-0.71087949 2.55868069]]","[[[0.24820214 -0.09915475],[-0.09915475 0.55031168]]:[[0.17659292 -0.08857197],[-0.08857197 0.3260052]]]"
19,"Morton, Charlie",6.748000678,11.17827451,8.850497274,[0.33326281 0.66673719],"[[-0.69768547 2.16768232],[0.55686498 1.49273184]]","[[[0.23074744 -0.01627218],[-0.01627218 0.2662884]]:[[0.42730023 -0.12214859],[-0.12214859 0.3653191]]]"
17,"Gray, Josiah",6.399917259,11.20657906,8.989982298,[0.60725199 0.39274801],"[[-0.73375127 1.82618923],[0.49528764 1.23530303]]","[[[0.29433108 -0.06735634],[-0.06735634 0.4454761]]:[[0.2000331 -0.08690859],[-0.08690859 0.41965802]]]"
15,"López, Pablo",6.688416252,12.33170227,9.017942821,[0.60774225 0.39225775],"[[-0.24368083 1.93986789],[0.80014462 0.54551291]]","[[[0.24321903 -0.06994694],[-0.06994694 0.42801676]]:[[0.24927314 -0.02815697],[-0.02815697 0.40283511]]]"
14,"Oviedo, Johan",7.210042833,11.80576541,9.023645323,[0.52664117 0.47335883],"[[-0.60082842 2.6904377],[0.20263526 1.47808352]]","[[[0.2742496 0.00820461],[0.00820461 0.45816198]]:[[0.22898488 -0.03932501],[-0.03932501 0.4796397]]]"
1,"Lange, Alex",6.796468061,10.76937373,9.258050054,[0.18730189 0.81269811],"[[0.19649315 0.67062307],[-0.36082179 1.8760005]]","[[[0.52313441 -0.05364774],[-0.05364774 0.17203707]]:[[0.3933944 -0.21975159],[-0.21975159 0.43319619]]]"
0,"Bradish, Kyle",7.647944735,12.35740418,9.363001494,[0.59967853 0.40032147],"[[-0.538058 2.42256468],[0.0600284 0.99686151]]","[[[0.23778625 -0.04618767],[-0.04618767 0.54245363]]:[[0.29732452 0.10147997],[0.10147997 0.41696884]]]"
16,"Lugo, Seth",7.445615045,11.6188099,9.844698069,[0.54186721 0.45813279],"[[-0.62458756 2.35907817],[0.42733647 1.75287435]]","[[[0.30499561 -0.1288206],[-0.1288206 0.55971639]]:[[0.29146497 -0.24153376],[-0.24153376 0.63666303]]]"
10,"Wheeler, Zack",6.064501324,10.28590042,10.23730984,[1.],[[-0.07714286 1.37987755]],"[[[0.63735202 -0.29715516],[-0.29715516 0.40295486]]]"
9,"Lyles, Jordan",9.81561125,14.43586266,10.36113748,[0.69385525 0.30614475],"[[-0.64445337 2.76818947],[0.58656111 0.92732557]]","[[[0.37610965 -0.26533473],[-0.26533473 0.62743633]]:[[0.25803794 -0.05280398],[-0.05280398 0.34002771]]]"
2,"Mikolas, Miles",6.800440484,11.35086836,11.28114079,[1.],[[-0.03758741 2.07867133]],"[[[0.34841161 -0.30097547],[-0.30097547 0.75918105]]]"
8,"Pivetta, Nick",8.104455529,12.19027075,12.0595884,[1.],[[-0.10578073 1.83710963]],"[[[0.33444865 -0.17023797],[-0.17023797 0.99645145]]]"
13,"Glasnow, Tyler",8.410605118,13.94712145,13.90179296,[1.],[[0.12280172 1.005]],"[[[0.32229703 -0.40471616],[-0.40471616 1.47370617]]]"
