Pitcher,Loc+ FA
Sean Manaea,123
Corbin Burnes,113
Wade Miley,111
Brandon Woodruff,110
Nathan Eovaldi,110
Zack Wheeler,109
Frankie Montas,108
Julio Urias,107
Sandy Alcantara,107
Tyler Mahle,107
Tyler Anderson,107
Gerrit Cole,106
Dallas Keuchel,106
Kevin Gausman,106
Hyun Jin Ryu,106
Marcus Stroman,106
Cole Irvin,105
Chris Flexen,105
Aaron Nola,105
Robbie Ray,104
Anthony DeSclafani,103
Walker Buehler,103
Yu Darvish,103
Zack Greinke,103
Joe Musgrove,102
Jose Berrios,102
Charlie Morton,102
Max Scherzer,102
Max Fried,101
Adam Wainwright,100
Kyle Hendricks,100
Lucas Giolito,100
Luis Castillo,99
Patrick Corbin,99
Jordan Lyles,98
Dylan Cease,95
German Marquez,94
Kyle Gibson,89
