,Pitcher,Control
41,"Wheeler, Zack",7.3348659635
25,"Kirby, George",7.6643145960000005
21,"Castillo, Luis",7.6651767920000005
32,"Nelson, Ryne",8.1970421555
1,"Rodriguez, Grayson",8.200959291
38,"López, Pablo",8.36379586
14,"Ober, Bailey",8.4728231355
5,"Williams, Trevor",8.5623549075
37,"Kremer, Dean",8.627704894
30,"Gausman, Kevin",8.663342908
19,"Javier, Cristian",8.693218397999999
40,"Luzardo, Jesús",8.9347904945
42,"Verlander, Justin",8.955546066
43,"Pivetta, Nick",9.022547534000001
44,"Miller, Bryce",9.058341817999999
3,"Bibee, Tanner",9.253304974
15,"Waldichuk, Ken",9.3053217175
31,"Lynn, Lance",9.316256298
6,"Strider, Spencer",9.3237403195
36,"Giolito, Lucas",9.402580079
27,"Cole, Gerrit",9.4235284655
17,"Rodriguez, Eduardo",9.4386091
28,"Ryan, Joe",9.512387003
33,"Gray, Jon",9.537589698
24,"Scherzer, Max",9.543453131500002
12,"Manaea, Sean",9.5624899995
35,"Kopech, Michael",9.7380089745
18,"Greene, Hunter",9.8537863295
9,"Megill, Tylor",9.9402587485
4,"Detmers, Reid",9.955306094
39,"Sears, JP",10.068943646000001
7,"Kikuchi, Yusei",10.079487373
0,"Steele, Justin",10.0952973535
26,"Gore, MacKenzie",10.117119859
10,"Brown, Hunter",10.1211902815
8,"Cease, Dylan",10.189628621
22,"Gallen, Zac",10.2106556125
23,"Clevinger, Mike",10.32151494
16,"Flaherty, Jack",10.75799465
29,"Gilbert, Logan",10.96492986
20,"Heaney, Andrew",10.9667587705
34,"Oviedo, Johan",11.043708800000001
11,"Peralta, Freddy",11.193014655
2,"Snell, Blake",11.389256878000001
13,"Senga, Kodai",12.08413612
