,Pitcher,NinetyFive,Five,Median Control,Pis,Mus,Covariances
10,"Civale, Aaron",5.67030903,8.169887173,6.658904371,[0.57546432 0.2993471  0.12518859],"[[-0.2911291 3.34373635],[-0.12985687 2.45375991],[0.89982759 3.13474962]]","[[[0.23114948 -0.01621118],[-0.01621118 0.16647828]]:[[0.28263696 -0.10729013],[-0.10729013 0.14196483]]:[[0.03695083 -0.00701455],[-0.00701455 0.08987777]]]"
20,"Keller, Mitch",5.483231803,9.514464306,6.837176621,[0.440852   0.07963588 0.47951212],"[[0.75434942 2.25938398],[-0.61095107 3.87666131],[0.10337465 2.98411469]]","[[[0.18767528 -0.07372578],[-0.07372578 0.28445791]]:[[0.03508509 0.00875691],[0.00875691 0.06903238]]:[[0.15434869 0.02296979],[0.02296979 0.25088798]]]"
7,"Schmidt, Clarke",5.898376484,10.22778267,6.837924149,[0.18824312 0.2365331  0.13808126 0.43714252],"[[-0.20249015 3.59745044],[0.77923325 2.13059459],[0.83155804 2.83874697],[-0.18630131 2.68759364]]","[[[0.34750133 0.04469153],[0.04469153 0.07540191]]:[[0.11542593 -0.07731711],[-0.07731711 0.20068621]]:[[0.12781734 0.03149371],[0.03149371 0.14012739]]:[[0.21308482 -0.04232095],[-0.04232095 0.2343284]]]"
6,"Walker, Taijuan",6.213578386,10.77184309,6.947458413,[0.2554008  0.44583457 0.11280645 0.18595818],"[[0.41649224 3.10138343],[0.20843304 2.04206622],[1.17089752 1.73229281],[-0.61083512 2.78608928]]","[[[0.17891234 0.02081648],[0.02081648 0.18248102]]:[[0.13724853 -0.01801534],[-0.01801534 0.29970548]]:[[0.05451353 0.07788867],[0.07788867 0.2837518]]:[[0.08957264 -0.09607381],[-0.09607381 0.29156997]]]"
21,"Eflin, Zach",5.263246779,8.4307226,7.107940052,[0.70479324 0.29520676],"[[0.21620534 2.9876519],[0.58720227 2.09968706]]","[[[0.3383041 -0.01533342],[-0.01533342 0.19339348]]:[[0.16944174 -0.03067453],[-0.03067453 0.18358559]]]"
22,"Jansen, Kenley",5.996151854,9.85939719,7.338727119,[0.58589201 0.41410799],"[[-0.50206394 3.17806366],[0.23965296 2.07769281]]","[[[0.21925431 -0.02854433],[-0.02854433 0.23380425]]:[[0.21273532 0.07061205],[0.07061205 0.16667246]]]"
11,"Rea, Colin",5.760943681,9.964498818,7.523965085,[0.48087714 0.1169796  0.40214326],"[[-0.59933717 1.8723427],[-0.90983491 2.81084002],[0.42309733 2.12175981]]","[[[0.19927538 -0.00769425],[-0.00769425 0.30572562]]:[[0.04496425 0.02647676],[0.02647676 0.05612035]]:[[0.24985778 -0.0573296],[-0.0573296 0.30237114]]]"
14,"Bassitt, Chris",6.308417607,9.864429188,7.594028905,[0.46486451 0.53513549],"[[0.25633155 2.5432964],[-0.33281618 3.49076508]]","[[[0.43841043 0.06759177],[0.06759177 0.14201444]]:[[0.30397218 -0.02522209],[-0.02522209 0.14056249]]]"
13,"Wheeler, Zack",6.611925682,11.52611555,7.603379948,[0.09383834 0.26953256 0.22345279 0.41317631],"[[1.06109859 1.09640023],[0.72823425 2.93808407],[-0.03099458 3.35152809],[0.35944391 1.94681986]]","[[[0.08727095 0.04181599],[0.04181599 0.18641577]]:[[0.20065352 -0.01652551],[-0.01652551 0.15251555]]:[[0.26812119 0.01867375],[0.01867375 0.15666406]]:[[0.39192891 -0.02441244],[-0.02441244 0.26111071]]]"
23,"Ashcraft, Graham",5.831532551,10.6953218,7.73474661,[0.41679652 0.35137128 0.2318322 ],"[[-0.08621403 2.36676325],[-0.05670616 3.43187817],[0.82983818 2.03385879]]","[[[0.20336762 -0.00766241],[-0.00766241 0.3460669]]:[[0.3566636 -0.04335079],[-0.04335079 0.21290094]]:[[0.11830342 -0.02866152],[-0.02866152 0.23251034]]]"
3,"Winckowski, Josh",6.037611735,9.418559775,7.755622269,[0.60600453 0.39399547],"[[0.3986826 2.46582929],[1.13694732 1.69163438]]","[[[0.17453377 0.0299513],[0.0299513 0.34845659]]:[[0.12852868 0.06617896],[0.06617896 0.30656966]]]"
0,"Dunning, Dane",5.924592069,9.674896139,7.766075391,[0.49156508 0.38836685 0.12006807],"[[0.6389516 3.1812698],[-0.08070037 2.78493575],[0.10607967 1.81821732]]","[[[0.18032886 -0.1511002],[-0.1511002 0.3027657]]:[[0.21549596 -0.14382215],[-0.14382215 0.24821958]]:[[0.51390141 -0.06651231],[-0.06651231 0.08034548]]]"
15,"Burnes, Corbin",7.061120132,11.09264867,7.857179673,[0.38852157 0.36232381 0.24915462],"[[0.50713931 2.45263401],[-0.52915138 2.22327697],[0.52390284 1.30849736]]","[[[0.29602411 -0.13701568],[-0.13701568 0.31181711]]:[[0.20602842 -0.08863995],[-0.08863995 0.28978492]]:[[0.35586864 -0.01267834],[-0.01267834 0.14165866]]]"
5,"Gibson, Kyle",6.548456497,10.80737959,7.998521339,[0.49628521 0.50371479],"[[0.82230095 2.54414681],[-0.42054911 2.23177114]]","[[[0.28150874 -0.05523197],[-0.05523197 0.30186078]]:[[0.2169187 -0.10774015],[-0.10774015 0.30920547]]]"
