,Pitcher,Year,xCTRL,Count Control,Stuff+,Loc+,IP,ERA,FIP,BB9,WHIP
271,"Gausman, Kevin",2023,7.050332997,7.636180159,99,106,185,3.16,2.97,2.7,1.178
272,"Gausman, Kevin",2022,7.084274388,,99,109,174.6,3.35,2.38,1.4,1.237
274,"Ryan, Joe",2023,7.107996031,7.419252074,106,112,161.66,4.51,4.13,1.9,1.169
275,"Nola, Aaron",2021,7.243411079,,101,102,180.66,4.63,3.37,1.9,1.129
276,"Rodón, Carlos",2022,7.350429153,,102,105,178,2.88,2.25,2.6,1.028
277,"Gausman, Kevin",2021,7.364970519,,94,107,192,2.81,3,2.3,1.042
278,"Strider, Spencer",2023,7.455614093,8.526913007,115,103,186.66,3.86,2.85,2.8,1.093
279,"Mahle, Tyler",2021,7.493257931,,102,111,180,3.75,3.8,3.2,1.233
280,"Nola, Aaron",2022,7.524174675,,116,103,205,3.25,2.58,1.3,0.961
281,"Ober, Bailey",2023,7.532548349,7.569473187,98,113,144.33,3.43,3.96,1.8,1.067
282,"Taillon, Jameson",2022,7.539185541,,104,105,177.33,3.91,3.94,1.6,1.128
284,"Urquidy, José",2022,7.615834192,,92,110,164.33,3.94,4.6,2.1,1.168
285,"Cole, Gerrit",2022,7.615915034,,122,98,200.66,3.5,3.47,2.2,1.017
286,"Wheeler, Zack",2023,7.658037265,7.549166954,115,112,192,3.61,3.15,1.8,1.078
287,"Ryan, Joe",2022,7.74883916,,106,98,147,3.55,3.99,2.9,1.102
288,"Cole, Gerrit",2023,7.778832578,8.39531264,105,109,209,2.63,3.16,2.1,0.981
289,"López, Pablo",2023,7.805182014,8.35637364,102,112,194,3.66,3.33,2.2,1.155
290,"Gonzales, Marco",2021,7.84642578,,90,105,143.33,3.96,5.28,2.6,1.165
292,"Mahle, Tyler",2022,7.858919892,,104,107,120.66,4.4,3.87,3.2,1.218
294,"Wheeler, Zack",2022,7.8887886,,112,110,153,2.82,2.89,2,1.039
295,"Javier, Cristian",2023,7.954186776,8.802355258,95,106,162,4.56,4.58,3.4,1.265
296,"Bieber, Shane",2022,7.9612188,,86,103,200,2.88,2.87,1.6,1.04
297,"Senzatela, Antonio",2021,7.976456891,,84,111,156.66,4.42,3.61,1.8,1.34
298,"Javier, Cristian",2022,7.999188441,,107,105,148.66,2.54,3.16,3.1,0.948
299,"Rodriguez, Eduardo",2023,7.999356351,8.019106727,91,100,152.66,3.3,3.66,2.8,1.153
300,"Manaea, Sean",2023,8.021474694,8.360689698,99,107,117.66,4.44,3.9,3.2,1.241
301,"Urías, Julio",2022,8.025385798,,98,107,175,2.16,3.71,2.1,0.96
302,"Pivetta, Nick",2022,8.026399839,,102,97,179.66,4.56,4.42,3.7,1.38
303,"Ray, Robbie",2021,8.032487277,,106,106,193.33,2.84,3.69,2.4,1.045
304,"Gallen, Zac",2023,8.123209884,8.41908585,99,103,210,3.47,3.26,2,1.119
305,"Steele, Justin",2023,8.153479257,8.135895699,102,107,173.33,3.06,3.02,1.9,1.171
307,"Cole, Gerrit",2021,8.162946303,,123,107,181.33,3.23,2.92,2,1.059
308,"Verlander, Justin",2022,8.16311434,,108,99,175,1.75,2.49,1.5,0.829
309,"Castillo, Luis",2023,8.202199304,8.130250125,110,101,197,3.34,3.81,2.6,1.096
310,"Taillon, Jameson",2021,8.224291646,,105,114,144.33,4.3,4.43,2.7,1.206
311,"Strider, Spencer",2022,8.226136885,,114,96,131.66,2.67,1.83,3.1,0.995
312,"Happ, J.A.",2021,8.243101934,,94,99,152.33,5.79,5.13,2.8,1.477
313,"Heaney, Andrew",2021,8.267517169,,115,100,129.33,5.83,4.85,2.8,1.319
314,"Luzardo, Jesús",2023,8.291891211,8.268646255,97,104,178.66,3.58,3.55,2.8,1.215
315,"Gilbert, Logan",2022,8.301128599,,98,104,185.66,3.2,3.46,2.4,1.18
316,"Greene, Hunter",2023,8.323832363,8.931930187,106,105,112,4.82,4.25,3.9,1.42
317,"Pivetta, Nick",2023,8.34679774,8.934059431,105,97,142.66,4.04,3.96,3.2,1.121
319,"Clevinger, Mike",2023,8.358089783,9.275566659,99,101,131.33,3.77,4.28,2.7,1.226
320,"Odorizzi, Jake",2021,8.419037414,,90,110,104.66,4.21,4.48,2.9,1.252
321,"Snell, Blake",2021,8.426730871,,96,104,128.66,4.2,3.82,4.8,1.321
322,"Urías, Julio",2021,8.429004905,,101,106,185.2,2.96,3.13,1.8,1.018
323,"Lynn, Lance",2021,8.431599223,,113,108,157,2.69,3.32,2.6,1.07
324,"Giolito, Lucas",2022,8.455970857,,83,100,161.66,4.9,4.06,3.4,1.435
325,"Wheeler, Zack",2021,8.464065693,,116,104,213.33,2.78,2.59,1.9,1.008
328,"Scherzer, Max",2023,8.496261388,8.844253055,106,99,152.66,3.77,4.32,2.7,1.12
329,"Heaney, Andrew",2023,8.502128764,8.570387074,104,92,147.33,4.15,4.66,3.7,1.378
330,"Manaea, Sean",2022,8.525106572,,94,101,158,4.96,4.53,2.8,1.297
332,"Garcia, Luis",2022,8.525953851,,92,105,157.33,3.72,3.93,2.7,1.131
333,"Greinke, Zack",2021,8.541748425,,83,108,171,4.16,4.71,1.9,1.17
334,"Rodriguez, Grayson",2023,8.546052137,8.855694406,107,102,122,4.35,3.93,3.1,1.336
336,"Kirby, George",2023,8.546623392,7.984501644,99,118,190.66,3.35,3.34,0.9,1.038
337,"Verlander, Justin",2023,8.557767617,8.835769608,96,101,162.33,3.22,3.85,2.5,1.133
338,"Miller, Bryce",2023,8.569135397,8.670627695,103,111,131.33,4.32,3.98,1.8,1.142
339,"Greene, Hunter",2022,8.631486088,,111,102,125.66,4.44,4.37,3.4,1.21
340,"Scherzer, Max",2021,8.640022402,,114,97,179.33,2.46,2.97,1.8,0.864
341,"Lynn, Lance",2023,8.642888071,8.866452155,103,102,183.66,5.73,5.53,3.3,1.394
342,"Manoah, Alek",2022,8.653057231,,104,88,196.66,2.24,3.35,2.3,0.992
343,"Irvin, Cole",2021,8.664518738,,90,104,178.33,4.24,4.3,2.1,1.329
344,"Gallen, Zac",2021,8.675833585,,102,92,121.33,4.3,4.25,3.6,1.294
345,"Márquez, Germán",2021,8.706100479,,77,100,180,4.4,3.86,3.2,1.272
347,"Gallen, Zac",2022,8.737446595,,109,94,184,2.54,3.05,2.3,0.913
349,"Sears, JP",2023,8.759992917,9.15477895,88,104,172.33,4.54,5.15,2.8,1.265
350,"Peralta, Freddy",2023,8.774992606,8.79656499,103,112,165.66,3.86,3.85,2.9,1.117
352,"Scherzer, Max",2022,8.793020746,,108,102,145.33,2.29,2.62,1.5,0.908
354,"Flexen, Chris",2021,8.801973627,,86,109,179.66,3.61,3.89,2,1.252
355,"Kikuchi, Yusei",2023,8.804251884,9.661359359,99,100,167.66,3.86,4.12,2.6,1.27
356,"Gray, Jon",2023,8.812705205,9.392672002,88,100,157.33,4.12,4.47,3.1,1.29
358,"Gore, MacKenzie",2023,8.835684023,9.110778559,99,99,136.33,4.42,4.89,3.8,1.401
359,"Buehler, Walker",2021,8.843188486,,110,98,207.66,2.47,3.16,2.3,0.968
360,"Gilbert, Logan",2021,8.84718748,,108,105,119.33,4.68,3.73,2.1,1.173
361,"Gonzales, Marco",2022,8.851542657,,83,101,183,4.13,5.05,2.5,1.333
362,"Megill, Tylor",2023,8.861157544,9.650697403,85,98,126.33,4.7,4.96,4.1,1.575
363,"Paddack, Chris",2021,8.869949085,,97,110,108.33,5.07,3.78,1.8,1.265
364,"Giolito, Lucas",2021,8.883893063,,94,98,178.66,3.53,3.79,2.6,1.103
365,"Kremer, Dean",2023,8.891299558,8.715538732,110,100,172.66,4.12,4.51,2.9,1.309
366,"López, Pablo",2022,8.894248991,,101,102,180,3.75,3.71,2.7,1.167
367,"McKenzie, Triston",2022,8.894938072,,97,104,191.33,2.96,3.59,2.1,0.951
368,"Gray, Jon",2021,8.933137614,,88,104,149,4.59,4.22,3.5,1.329
369,"Gilbert, Logan",2023,8.934823151,8.995508876,90,111,190.66,3.73,3.85,1.7,1.075
370,"Gray, Jon",2022,8.949893128,,91,106,127.33,3.96,3.8,2.8,1.131
371,"Javier, Cristian",2021,8.952282883,,93,96,101.33,3.55,4.43,4.7,1.184
372,"Garcia, Luis",2021,8.96003967,,99,98,155.33,3.48,3.63,2.9,1.178
373,"Williams, Trevor",2023,8.984315352,7.992269079,86,112,144.33,5.55,5.98,3.3,1.6
374,"Rogers, Trevor",2021,9.010122897,,97,102,133,2.64,2.55,3.1,1.15
375,"Snell, Blake",2023,9.048511985,8.666617039,88,94,180,2.25,3.44,5,1.189
376,"Richards, Garrett",2021,9.050131315,,97,100,136.66,4.87,4.72,4,1.595
377,"Kaprielian, James",2022,9.050870633,,83,97,134,4.23,4.63,4,1.343
378,"Bibee, Tanner",2023,9.060726694,10.28640172,88,95,142,2.98,3.52,2.9,1.176
379,"Eovaldi, Nathan",2021,9.069138274,,105,109,182.33,3.75,2.79,1.7,1.19
380,"Lyles, Jordan",2021,9.084871771,,89,103,180,5.15,5.34,2.8,1.389
381,"Rodón, Carlos",2021,9.103086524,,101,105,132.66,2.37,2.65,2.4,0.957
382,"Akin, Keegan",2021,9.115554762,,107,99,95,6.63,5.1,3.8,1.579
384,"Anderson, Ian",2021,9.115860152,,96,98,128.33,3.58,4.12,3.7,1.231
385,"Brown, Hunter",2023,9.122339175,9.114102816,93,96,155.66,5.09,4.37,3.2,1.362
386,"McKenzie, Triston",2021,9.143981535,,95,101,120,4.95,4.7,4.4,1.183
387,"Bubic, Kris",2022,9.169445165,,90,100,129,5.58,4.78,4.4,1.698
388,"Pivetta, Nick",2021,9.184175344,,104,99,155,4.53,4.28,3.8,1.303
389,"Peralta, Freddy",2021,9.232120337,,107,105,144.33,2.81,3.12,3.5,0.97
390,"Cease, Dylan",2021,9.287997048,,98,103,165.66,3.91,3.41,3.7,1.249
391,"Giolito, Lucas",2023,9.403294046,9.535087957,83,101,184.33,4.88,5.27,3.6,1.313
392,"Cease, Dylan",2022,9.42681872,,100,100,184,2.2,3.1,3.8,1.109
393,"Kopech, Michael",2023,9.434071065,10.5776379,101,83,129.33,5.43,6.46,6.3,1.593
394,"Morton, Charlie",2021,9.456213703,,94,102,185.66,3.34,3.18,2.8,1.045
395,"Cease, Dylan",2023,9.563342106,9.5472537,99,98,177,4.58,3.72,4,1.418
396,"Senga, Kodai",2023,9.614722822,10.01442107,98,87,166.33,2.98,3.63,4.2,1.22
397,"Gray, Josiah",2022,9.773240171,,84,103,148.66,5.02,5.86,4,1.359
398,"Oviedo, Johan",2023,9.787115504,10.19603106,89,90,177.66,4.31,4.49,4.2,1.373
399,"Kopech, Michael",2022,9.837464083,,106,87,119.33,4.74,4.84,4.3,1.19
400,"Waldichuk, Ken",2023,9.845402222,9.183185529,92,101,141,4.93,4.29,4.5,1.56
401,"Kaprielian, James",2021,10.11313657,,85,98,119.33,4.07,4.33,3.1,1.223
402,"Flaherty, Jack",2023,10.26719522,9.85621444,102,93,144.33,4.99,4.36,4.1,1.58
403,"Nelson, Ryne",2023,10.57579314,9.074946105,99,104,144,5.31,5.07,2.9,1.424
404,"Keller, Mitch",2021,10.70302552,,79,98,100.33,6.17,4.3,4.4,1.788
