,Pitcher,NinetyFive,Five,Median Control,Pis,Mus,Covariances
46,"Gausman, Kevin",5.223881707519187,9.079181099449142,6.138252803082128,[0.145417   0.31991856 0.25304868 0.28161576],"[[-0.95622841  3.10962656]
 [-0.51435201  2.29784094]
 [ 0.27903574  2.10806059]
 [-0.1007998   3.1649219 ]]","[[[ 0.08466213 -0.03890192]
  [-0.03890192  0.09233083]]

 [[ 0.20223016  0.00448281]
  [ 0.00448281  0.14947364]]

 [[ 0.15554098  0.03801361]
  [ 0.03801361  0.16868196]]

 [[ 0.21264208 -0.05434871]
  [-0.05434871  0.1496718 ]]]"
90,"Cueto, Johnny",5.320011151883924,8.654468923658875,6.5498248876017495,[0.21884346 0.27336669 0.50778986],"[[-0.0943625   3.87288223]
 [ 0.2026641   2.89533003]
 [-0.52277703  2.86530071]]","[[[ 0.2368189  -0.10183337]
  [-0.10183337  0.14116531]]

 [[ 0.09180754 -0.09623281]
  [-0.09623281  0.18137697]]

 [[ 0.18225035 -0.07725524]
  [-0.07725524  0.19994536]]]"
21,"Taillon, Jameson",5.289766508121014,9.255449412297882,6.595034477143768,[0.61674251 0.16043579 0.12187964 0.10094206],"[[ 0.06064334  3.07045783]
 [-0.4313961   4.04486052]
 [-0.92108136  2.89285349]
 [ 0.05507775  2.20941584]]","[[[ 0.29280702  0.07741425]
  [ 0.07741425  0.19516473]]

 [[ 0.14994664  0.01956837]
  [ 0.01956837  0.05778805]]

 [[ 0.06414713 -0.10093945]
  [-0.10093945  0.23297225]]

 [[ 0.34855111  0.14066094]
  [ 0.14066094  0.12024538]]]"
43,"Mahle, Tyler",5.593976411370721,8.338994461750211,6.673645649424847,[0.144796   0.11322296 0.25892173 0.48305931],"[[ 0.17044174  3.8416918 ]
 [-0.61181184  2.04325183]
 [-0.6414922   3.11128748]
 [ 0.54567827  2.8587373 ]]","[[[ 0.21878841 -0.02586775]
  [-0.02586775  0.11218135]]

 [[ 0.23792661 -0.05778825]
  [-0.05778825  0.07922229]]

 [[ 0.20262937 -0.07685034]
  [-0.07685034  0.23908886]]

 [[ 0.1832603  -0.03664063]
  [-0.03664063  0.22181843]]]"
116,"Wheeler, Zack",5.917175191018351,10.347802739136556,6.828630903411175,[0.09084293 0.4409233  0.13745281 0.12762964 0.20315133],"[[ 0.74384895  2.54739919]
 [-0.22541272  2.47410334]
 [-0.82308938  3.25240263]
 [ 0.18027015  1.8068426 ]
 [ 0.53964936  3.35414454]]","[[[ 1.30823063e-01 -6.34987864e-03]
  [-6.34987864e-03  1.73884111e-02]]

 [[ 3.05984618e-01  1.43715804e-02]
  [ 1.43715804e-02  1.53102296e-01]]

 [[ 1.69781911e-01  3.54322614e-04]
  [ 3.54322614e-04  1.47729073e-01]]

 [[ 3.81494236e-01  9.57175905e-03]
  [ 9.57175905e-03  6.31484313e-02]]

 [[ 2.30667460e-01 -4.56421168e-02]
  [-4.56421168e-02  1.36391775e-01]]]"
13,"Greinke, Zack",5.858057462728212,9.69396664064334,6.931816096763152,[0.18161395 0.26738935 0.5509967 ],"[[-0.95364773  2.99313395]
 [ 0.39192973  2.80197891]
 [-0.4073563   2.02905035]]","[[[ 0.13281121  0.02887352]
  [ 0.02887352  0.1661586 ]]

 [[ 0.1445749  -0.06464777]
  [-0.06464777  0.22933167]]

 [[ 0.24251114 -0.0646634 ]
  [-0.0646634   0.20737609]]]"
117,"Woodruff, Brandon",5.832853735151556,9.979137636061171,7.175633378637821,[0.14452563 0.49647916 0.3589952 ],"[[-0.89379979  2.85870198]
 [ 0.01771977  3.47736783]
 [ 0.29303308  2.40833079]]","[[[ 0.11661163 -0.02124734]
  [-0.02124734  0.08890293]]

 [[ 0.35224232 -0.11269441]
  [-0.11269441  0.20868825]]

 [[ 0.26841915  0.04970893]
  [ 0.04970893  0.16816918]]]"
1,"Williams, Trevor",5.9818591623111415,9.963460683522026,7.211467195655931,[0.13995952 0.49883895 0.36120153],"[[-0.50565191  2.11316473]
 [ 0.50385859  2.69258533]
 [-0.45984952  3.11284211]]","[[[ 0.29466155 -0.05988021]
  [-0.05988021  0.10318608]]

 [[ 0.22527134 -0.07958911]
  [-0.07958911  0.35481557]]

 [[ 0.18120188 -0.04404712]
  [-0.04404712  0.16076854]]]"
94,"Nola, Aaron",6.34494244242606,11.20257845218473,7.26528974015552,[0.2092684  0.32363841 0.35777825 0.10931493],"[[ 0.70075342  2.81682112]
 [ 0.05181884  3.5757583 ]
 [-0.37911609  2.31166981]
 [-1.08714571  2.76117629]]","[[[ 0.15192429 -0.03321926]
  [-0.03321926  0.47831699]]

 [[ 0.35509545 -0.01933024]
  [-0.01933024  0.16624234]]

 [[ 0.15781422  0.03495012]
  [ 0.03495012  0.2148999 ]]

 [[ 0.10130161 -0.04397295]
  [-0.04397295  0.13952329]]]"
33,"Senzatela, Antonio",5.9088310396138075,8.821056559181656,7.268097929078964,[0.44753512 0.36943756 0.14161231 0.04141502],"[[ 0.28024108  3.12626699]
 [-0.76310791  2.61798075]
 [ 0.17013672  1.7127794 ]
 [-0.47520814  4.02607491]]","[[[ 0.22244335  0.01906865]
  [ 0.01906865  0.31801757]]

 [[ 0.15051508 -0.05827494]
  [-0.05827494  0.36699242]]

 [[ 0.1597752   0.05337091]
  [ 0.05337091  0.10120835]]

 [[ 0.02381115 -0.0107007 ]
  [-0.0107007   0.04280549]]]"
