,Pitcher,Control,Pis,Mus,Covariances
57,"Ryan, Joe",6.92625922,"[0.35347589,0.24907052,0.39745359]","[[0.29125075,3.27180828],[0.33847807,2.4162562],[-0.51010818,3.21002383]]","[[[0.11404146,0.01046404],[0.01046404,0.16922885]],[[0.19349094,0.03697099],[0.03697099,0.11196342]],[[0.09458811,0.0457613],[0.0457613,0.27057791]]]"
65,"Wheeler, Zack",6.995686819,"[0.07567061,0.14117258,0.42505435,0.24342878,0.11467368]","[[-0.98779968,2.73450622],[0.80143988,2.58390823],[-0.09091829,3.14247307],[0.07439567,2.13450645],[-0.22412845,3.8699207]]","[[[0.01021035,0.01856495],[0.01856495,0.4290722]],[[0.06598913,-0.018722],[-0.018722,0.15468392]],[[0.24236143,0.03725115],[0.03725115,0.15857356]],[[0.12188037,0.0117893],[0.0117893,0.11429982]],[[0.24285116,-0.04980941],[-0.04980941,0.04859466]]]"
96,"Gausman, Kevin",7.132741308,"[0.4394329,0.19107957,0.14691392,0.2225736]","[[-0.67708696,2.29616973],[0.05388456,2.50871666],[-0.3991826,3.30154662],[0.23365228,1.88033123]]","[[[0.14405782,-0.0649476],[-0.0649476,0.32060553]],[[0.11599162,0.03059535],[0.03059535,0.04172308]],[[0.28436164,-0.02784302],[-0.02784302,0.04988681]],[[0.12693303,-0.02528502],[-0.02528502,0.14755735]]]"
11,"Kirby, George",7.146905694,"[0.09015955,0.24031517,0.66952529]","[[0.58341814,3.31042046],[0.31657134,2.38417628],[-0.25080943,3.21893245]]","[[[0.0881009,0.00525357],[0.00525357,0.051021]],[[0.16721437,0.02289333],[0.02289333,0.09712898]],[[0.15352991,-0.01338698],[-0.01338698,0.19558227]]]"
95,"Keller, Mitch",7.330164511,"[0.25627215,0.24041407,0.21255754,0.29075624]","[[0.40296942,2.1319735],[-0.64638776,3.65808928],[0.12451736,3.08777076],[-0.22082374,2.86657069]]","[[[0.21888837,-0.02914055],[-0.02914055,0.14082082]],[[0.17776071,0.0231149],[0.0231149,0.13409976]],[[0.29897116,0.09470276],[0.09470276,0.10723231]],[[0.17522518,-0.02010856],[-0.02010856,0.21618971]]]"
53,"Williams, Trevor",7.401659125,"[0.25717148,0.15771273,0.58511579]","[[-0.61034581,2.9778096],[-0.33490529,2.00739126],[0.38401644,2.9404272]]","[[[0.1325833,-0.02824307],[-0.02824307,0.22424687]],[[0.17198889,0.00578991],[0.00578991,0.07315516]],[[0.17190358,-0.02631972],[-0.02631972,0.21319922]]]"
60,"Hendricks, Kyle",7.43003737,"[0.46300567,0.40539641,0.13159791]","[[-0.39365416,1.96866211],[-0.81495467,2.74409691],[0.02234917,3.40305555]]","[[[0.24150112,-0.0071694],[-0.0071694,0.20674645]],[[0.20533188,-0.05308217],[-0.05308217,0.13729791]],[[0.13737981,-0.02857904],[-0.02857904,0.08598471]]]"
12,"Ober, Bailey",7.472195774,"[0.61645051,0.11415831,0.26939118]","[[0.12256495,3.12867277],[-0.76784207,3.0516188],[0.16532083,3.84317283]]","[[[0.22695999,-0.12369289],[-0.12369289,0.21256482]],[[0.06456128,-0.07730853],[-0.07730853,0.22149132]],[[0.18208696,-0.05262515],[-0.05262515,0.12410783]]]"
84,"Cole, Gerrit",7.562989418,"[0.13072382,0.31288346,0.27708992,0.2793028]","[[-0.25380289,3.73187006],[-0.76967986,2.96720809],[0.70234845,2.87926195],[-0.07827456,2.50577317]]","[[[0.12535387,-0.07008392],[-0.07008392,0.14140209]],[[0.15819997,-0.02676475],[-0.02676475,0.24931089]],[[0.07545441,-0.02269591],[-0.02269591,0.33173562]],[[0.11006096,0.03255412],[0.03255412,0.27795075]]]"
47,"Strider, Spencer",7.608905036,"[0.145708,0.15875824,0.2533792,0.44215457]","[[0.22416543,1.80242866],[-0.53340659,3.55297673],[0.37712779,2.76781486],[-0.55688829,2.6267171]]","[[[0.1890677,0.0077001],[0.0077001,0.13980348]],[[0.32594831,-0.01772659],[-0.01772659,0.15471618]],[[0.1453242,-0.03255543],[-0.03255543,0.27530772]],[[0.1704128,-0.048689],[-0.048689,0.26023067]]]"
71,"Gray, Sonny",7.644350555,"[0.2940641,0.12806032,0.40978491,0.16809068]","[[0.63765132,2.07428102],[0.48622959,3.07251888],[-0.10712155,2.63021386],[-0.13107452,3.9463654]]","[[[0.16380195,-0.02336646],[-0.02336646,0.22622332]],[[0.08261932,0.00207468],[0.00207468,0.02723678]],[[0.15470664,-0.05481722],[-0.05481722,0.39369922]],[[0.17114168,-0.0383727],[-0.0383727,0.0531976]]]"
