,Pitcher,NinetyFive,Five,"Median,Control",Pis,Mus,Covariances
145,"Nola, Aaron",5.142239121,7.597545948,5.928546382,"[0.13952757,0.28006944,0.49268151,0.06460602,0.02311546]","[[0.4056261,3.33313001],[0.94798717,1.99767378],[0.16695272,2.62226544],[1.28662989,2.31934533],[-0.64686329,1.59997325]]","[[[0.23943927,-0.0580483],[-0.0580483,0.07109051]],[[0.11450906,0.00687072],[0.00687072,0.14805661]],[[0.21673478,-0.01801604],[-0.01801604,0.11863719]],[[0.02968202,-0.02830912],[-0.02830912,0.02970162]],[[0.02324198,-0.02961036],[-0.02961036,0.04012248]]]"
135,"Hill, Rich",5.501395244,9.407512228,6.413396951,"[0.21998527,0.12654204,0.0819613,0.06471766,0.50679373]","[[-0.58862983,3.156002],[-0.36271311,2.02331523],[0.53527187,3.94329374],[1.16619971,3.23070629],[0.13641524,2.92775661]]","[[[0.12420045,0.01373107],[0.01373107,0.26617881]],[[0.17818793,-0.01642697],[-0.01642697,0.05433081]],[[0.10374601,0.02802829],[0.02802829,0.03795462]],[[0.0194743,-0.01539821],[-0.01539821,0.33061753]],[[0.20049257,-0.00063546],[-0.00063546,0.19117388]]]"
144,"Fried, Max",5.656139637,9.675026038,6.469026328,"[0.43462696,0.19129954,0.26068671,0.11338679]","[[-0.14226257,3.41090631],[0.28147086,2.44427745],[-0.54103177,2.4141769],[-0.71223888,1.66405189]]","[[[0.29110272,0.00693215],[0.00693215,0.20263219]],[[0.11945761,-0.07621612],[-0.07621612,0.25368145]],[[0.16552213,-0.02333218],[-0.02333218,0.09843518]],[[0.15053062,-0.01965243],[-0.01965243,0.0580734]]]"
109,"Gonzales, Marco",5.451719784,9.322090011,6.481173511,"[0.28854635,0.24590581,0.27497876,0.19056908]","[[-0.90983475,2.45718254],[-0.68480723,3.29077758],[-0.18373491,2.59277046],[0.14775619,3.51666884]]","[[[0.12311037,0.00641962],[0.00641962,0.2391818]],[[0.1093942,-0.06912619],[-0.06912619,0.23066362]],[[0.14543323,-0.10132064],[-0.10132064,0.30182527]],[[0.15071906,-0.03975337],[-0.03975337,0.17436541]]]"
32,"Anderson, Tyler",5.653725587,9.759386829,6.57133512,"[0.1468983,0.27110118,0.2672335,0.31476702]","[[-0.72556751,3.36296507],[-0.38910166,2.30839031],[0.55555382,2.4153704],[0.07261406,3.40930184]]","[[[0.06333963,0.04623413],[0.04623413,0.21265167]],[[0.20872523,0.07130577],[0.07130577,0.1891452]],[[0.15675647,0.03875279],[0.03875279,0.23985521]],[[0.1644943,0.05608814],[0.05608814,0.16728701]]]"
179,"Ober, Bailey",5.389686959,9.558384455,6.703794472,"[0.25591904,0.53298496,0.211096]","[[0.27809056,2.74001959],[-0.44283676,3.68543969],[0.5754351,3.33245183]]","[[[0.28217096,-0.09910119],[-0.09910119,0.08628083]],[[0.19156031,0.00706451],[0.00706451,0.31805705]],[[0.06807477,0.01897508],[0.01897508,0.13271729]]]"
159,"Cole, Gerrit",5.722400626,10.09528383,6.709631107,"[0.47198738,0.20758876,0.14410093,0.17632294]","[[-0.10598677,2.53908229],[0.94446222,2.01828336],[0.50118424,2.99460203],[0.04166866,3.7201386]]","[[[0.25554485,-0.09443371],[-0.09443371,0.25983343]],[[0.07308313,-0.00851628],[-0.00851628,0.17380597]],[[0.17743439,-0.01995069],[-0.01995069,0.04672161]],[[0.25969011,-0.01614858],[-0.01614858,0.07798571]]]"
103,"Lynn, Lance",5.319344113,8.79976376,6.764871991,"[0.48618812,0.3776793,0.13613258]","[[0.28543517,3.10416181],[0.43603882,2.30942928],[-0.54066092,3.44587669]]","[[[0.20271977,0.02530229],[0.02530229,0.22727016]],[[0.23563639,0.01547927],[0.01547927,0.1781729]],[[0.05898515,0.02979745],[0.02979745,0.12609374]]]"
58,"Urías, Julio",5.997123414,8.934066943,6.841935543,"[0.13699854,0.12092403,0.13730398,0.26452269,0.34025075]","[[0.39190181,3.99152929],[-0.36752171,1.87416343],[0.30174075,2.90415381],[0.62314802,2.41577321],[-0.25769705,3.05488795]]","[[[0.27080989,-0.00066716],[-0.00066716,0.04869593]],[[0.12290538,0.04418769],[0.04418769,0.08185869]],[[0.30374366,0.21738934],[0.21738934,0.17601957]],[[0.2025751,0.10852343],[0.10852343,0.3531931]],[[0.19318915,0.09586383],[0.09586383,0.22060703]]]"
139,"Ray, Robbie",5.907010252,8.659883484,6.87926289,"[0.28150666,0.38311293,0.21994854,0.11543188]","[[-0.19083677,3.38571763],[0.0201634,2.59960809],[-0.79848452,2.15180889],[0.85411736,3.14931637]]","[[[0.25808261,0.05714026],[0.05714026,0.21493695]],[[0.25159627,-0.05447673],[-0.05447673,0.18227788]],[[0.15559007,-0.04632703],[-0.04632703,0.16219218]],[[0.08469985,0.00778165],[0.00778165,0.30071752]]]"
