,Pitcher,NinetyFive,Five,Median Control,Pis,Mus,Covariances
96,"Gray, Sonny",5.311692358,8.824811961,5.86849233,[0.29774348 0.49704495 0.20521157],"[[0.7299093 1.69164516],[0.32554112 3.14404391],[0.45555298 2.51724949]]","[[[1.18561408e-01 1.07469927e-02],[1.07469927e-02 8.10092188e-02]]:[[1.97603027e-01 6.07136852e-05],[6.07136852e-05 1.88444958e-01]]:[[6.04747081e-02 4.86368433e-03],[4.86368433e-03 3.20210453e-02]]]"
125,"Steele, Justin",5.577308409,6.716112738,6.04006005,[0.14775469 0.08009035 0.28467108 0.30091105 0.11658703 0.0699858 ],"[[-0.87312015 2.56160166],[ 0.49762249 3.82246782],[-0.27221927 2.41071106],[-0.09535399 3.11347784],[0.64164113 2.56681675],[-1.07924988 1.85208151]]","[[[0.10445435 -0.00972469],[-0.00972469 0.13001333]]:[[0.14928906 -0.04020371],[-0.04020371 0.05019152]]:[[0.09184736 -0.00290718],[-0.00290718 0.24091235]]:[[0.18654469 -0.07996694],[-0.07996694 0.18362243]]:[[0.07252602 0.05430323],[0.05430323 0.42399297]]:[[0.05335688 0.01462819],[0.01462819 0.10273656]]]"
128,"Stratton, Chris",5.728795085,9.684392067,6.182309407,[0.05543299 0.17919795 0.21320033 0.22361216 0.22993984 0.09861673],"[[0.36789657 1.54560327],[-0.38171761 3.32193335],[0.9193934 2.24094562],[0.40342515 2.62974409],[0.31276747 3.0071602],[-0.10543619 2.28659131]]","[[[0.0210269 -0.01156368],[-0.01156368 0.02599228]]:[[0.09394811 0.02201055],[0.02201055 0.14527946]]:[[0.06808849 -0.01604158],[-0.01604158 0.1935541]]:[[0.04089632 0.11184314],[0.11184314 0.46318718]]:[[0.2571321 0.17823659],[0.17823659 0.19416864]]:[[0.12742206 0.13461136],[0.13461136 0.19397944]]]"
124,"Gausman, Kevin",5.637649455,9.561382966,6.209910892,[0.34219462 0.06460166 0.1393304  0.18076488 0.15821724 0.1148912 ],"[[-0.33407281 2.52656317],[0.71110893 1.25477214],[-0.08000666 2.99457391],[-0.08708514 1.64119696],[0.57228914 2.29596768],[-1.20358857 2.60048811]]","[[[0.11541439 -0.06252193],[-0.06252193 0.30147346]]:[[0.04029548 0.04522586],[0.04522586 0.0634273]]:[[0.28268888 0.04711189],[0.04711189 0.16383763]]:[[0.23509993 -0.03930741],[-0.03930741 0.11682042]]:[[0.1252559 -0.04992005],[-0.04992005 0.07061428]]:[[0.02845578 0.02739849],[0.02739849 0.30920961]]]"
20,"Bradley, Taj",5.584656061,9.561913755,6.213369194,[0.18065795 0.16192271 0.04078594 0.51840251 0.09823089],"[[-2.19285979e-03 3.87022712e+00],[2.23799811e-01 3.28582578e+00],[-2.39274023e-01 1.54524360e+00],[-2.08884741e-01 2.65229530e+00],[7.89583024e-01 2.35200982e+00]]","[[[0.29841871 -0.02026134],[-0.02026134 0.06886349]]:[[0.1857598 -0.08925012],[-0.08925012 0.06352602]]:[[0.20366589 0.00816119],[0.00816119 0.01937836]]:[[0.17662924 -0.0498884],[-0.0498884 0.19171278]]:[[0.0612331 -0.06020535],[-0.06020535 0.27213547]]]"
154,"Severino, Luis",5.161306651,8.878951431,6.254626848,[0.06603619 0.18499851 0.63278271 0.11618258],"[[0.05946152 3.94059768],[0.19080036 1.94752699],[0.19734686 2.91730626],[1.26140816 2.43335336]]","[[[3.61859056e-01 -3.25530138e-04],[-3.25530138e-04 5.87038400e-03]]:[[2.39023149e-01 7.91414578e-03],[7.91414578e-03 3.33858891e-02]]:[[1.86743455e-01 -2.38055937e-02],[-2.38055937e-02 1.50820004e-01]]:[[2.70865299e-02 1.30318668e-02],[1.30318668e-02 1.61372780e-01]]]"
62,"Strider, Spencer",5.519504878,9.309904978,6.282118521,[0.220294   0.10649717 0.09473622 0.40457998 0.17389262],"[[-0.5591821 2.8269106],[0.37222908 2.28223705],[0.07513612 1.72185608],[0.26255263 2.71447621],[-0.05514175 3.72265015]]","[[[0.10295852 -0.00425723],[-0.00425723 0.25490491]]:[[0.15874073 -0.17661758],[-0.17661758 0.23049951]]:[[0.23447079 -0.03505616],[-0.03505616 0.08910926]]:[[0.15784327 0.00410231],[0.00410231 0.17634958]]:[[0.23230269 -0.00327393],[-0.00327393 0.10470896]]]"
101,"Manaea, Sean",5.72673232,9.191684656,6.36713664,[0.21312621 0.17328407 0.41852308 0.19506664],"[[-0.2865766 3.36787477],[-0.40854623 2.5884703],[0.71384716 3.19881692],[0.12221048 2.48954615]]","[[[0.16608094 0.0571122],[0.0571122 0.15566728]]:[[0.14780012 0.08203804],[0.08203804 0.18757316]]:[[0.14274392 0.04511123],[0.04511123 0.28027872]]:[[0.14556744 -0.04407052],[-0.04407052 0.08486351]]]"
14,"Ober, Bailey",5.414044564,8.567640532,6.386028877,[0.32280588 0.23981799 0.43737614],"[[-0.26828425 3.99513247],[0.65228714 3.03987024],[-0.01397321 3.06296805]]","[[[0.17635481 0.02548604],[0.02548604 0.12036663]]:[[0.07910634 -0.06318801],[-0.06318801 0.26852278]]:[[0.16627729 -0.07908269],[-0.07908269 0.24379602]]]"
78,"Ryan, Joe",5.393354176,8.84543303,6.504658856,[0.21761356 0.45021367 0.33217277],"[[-0.13300536 2.70102666],[0.65014606 2.88004321],[-0.3456209 3.48396489]]","[[[0.13188066 0.08470412],[0.08470412 0.15242979]]:[[0.15749094 0.01979022],[0.01979022 0.29210016]]:[[0.15255275 0.05418068],[0.05418068 0.18102153]]]"
27,"Mikolas, Miles",5.338052501,9.543684117,6.510844597,[0.13285571 0.12282828 0.5830836  0.09216669 0.06906572],"[[0.80895977 1.77918523],[-0.56001979 3.59703374],[0.35521303 2.94674469],[-0.4064591 2.38251464],[0.43357632 2.19607761]]","[[[0.19324392 0.0259216],[0.0259216 0.0439546]]:[[0.08584143 0.05859959],[0.05859959 0.15656103]]:[[0.20520254 -0.04313948],[-0.04313948 0.28024186]]:[[0.05364418 0.03316784],[0.03316784 0.06025756]]:[[0.00638147 -0.0017661],[-0.0017661 0.0056883]]]"
