,Pitcher,NinetyFive,Five,Median Control,Pis,Mus,Covariances
8,"Cobb, Alex",5.486222018,9.518762771,6.10972897,[0.1497004  0.08535726 0.33814805 0.33329898 0.09349531],"[[0.12294285 1.67989464],[-0.48272868 2.17330532],[-1.04731395 2.39319479],[-0.57530403 1.55108105],[-0.17561327 0.6462547]]","[[[0.0504491 -0.02021901],[-0.02021901 0.20175192]]:[[0.08465069 0.0838903],[0.0838903 0.08500232]]:[[0.14744496 -0.03428764],[-0.03428764 0.24933731]]:[[0.07310457 0.05699725],[0.05699725 0.24719358]]:[[0.13782778 -0.04486807],[-0.04486807 0.07619358]]]"
7,"Gausman, Kevin",5.60398728,9.397348026,6.540536243,[0.06188628 0.25427425 0.39554448 0.28829499],"[[0.36429405 0.29636955],[-0.92937565 2.12791365],[-0.01049443 1.30724821],[-0.65458877 1.14633897]]","[[[0.04253863 -0.03676688],[-0.03676688 0.05511919]]:[[0.10806921 -0.06669969],[-0.06669969 0.1645195]]:[[0.13224997 -0.04697049],[-0.04697049 0.29806456]]:[[0.15455438 -0.03223666],[-0.03223666 0.24009469]]]"
5,"Maeda, Kenta",5.774545803,8.948182171,7.284958288,[0.70166844 0.29833156],"[[-0.32729903 1.33529202],[-1.01183342 2.14052101]]","[[[0.24960132 -0.05679016],[-0.05679016 0.31834878]]:[[0.07809277 -0.01812742],[-0.01812742 0.17484438]]]"
4,"Eovaldi, Nathan",6.059894767,9.485921016,7.688726631,[0.69475808 0.30524192],"[[-0.44007243 1.80598836],[0.35702908 1.10887453]]","[[[0.23686656 -0.10467654],[-0.10467654 0.34962657]]:[[0.07859885 -0.0187658],[-0.0187658 0.24062183]]]"
1,"Walker, Taijuan",5.86240264,9.873597034,8.035430783,[0.54468674 0.45531326],"[[-0.46342524 1.32579656],[-0.59317055 2.32212916]]","[[[0.3800229 -0.10230973],[-0.10230973 0.16317426]]:[[0.37611 -0.1387366],[-0.1387366 0.19908415]]]"
2,"Ryan, Joe",7.08134266,9.937742836,8.338530189,[0.76250876 0.23749124],"[[-0.281628  1.5433478],[-0.42103879 2.68681937]]","[[[0.38401017 -0.14721065],[-0.14721065 0.28021351]]:[[0.38567327 -0.10888397],[-0.10888397 0.09503596]]]"
0,"Swanson, Erik",7.683928155,11.01945361,8.810618445,[0.33779405 0.66220595],"[[-0.235596 1.19764385],[-0.30840904 2.4695719]]","[[[0.4559091 -0.12810443],[-0.12810443 0.1927424]]:[[0.31501752 -0.04317659],[-0.04317659 0.31026672]]]"
6,"Gilbert, Logan",7.591607494,11.41572747,9.520265287,[0.18737684 0.81262316],"[[0.0638936 1.28206271],[-0.69895804 2.50142374]]","[[[0.10392951 0.11603088],[0.11603088 0.24343634]]:[[0.42636999 -0.10675379],[-0.10675379 0.41677292]]]"
10,"Gonsolin, Tony",6.592872036,11.45805056,9.640226852,[0.1616476 0.8383524],"[[-0.63263484 2.60282034],[0.08565978 1.39041026]]","[[[0.18118471 -0.08188969],[-0.08188969 0.09950929]]:[[0.36677686 -0.18702631],[-0.18702631 0.49152808]]]"
3,"Leiter Jr., Mark",7.449586354,12.9807461,9.922339256,[0.57566499 0.42433501],"[[-1.33095866e-03 8.63977507e-01],[-5.86042285e-01 2.27475326e+00]]","[[[0.45411466 -0.17304809],[-0.17304809 0.32332041]]:[[0.51186548 -0.08234578],[-0.08234578 0.39022534]]]"
9,"McGough, Scott",6.924341344,10.55995499,10.52563984,[1.],[[-0.40941909 1.73879668]],"[[[0.34096747 -0.26591299],[-0.26591299 0.74607881]]]"
