Pitcher,Control,Control Z,Location+,Location+ Z,Year
Kevin Gausman,6.291854101,1.90159943,109,1.33907721,2022
Kevin Gausman,6.357631643,1.809741756,104,0.213918973,2023
Aaron Nola,6.596918061,1.475580686,105,0.438950621,2021
Spencer Strider,6.614680748,1.450775273,106,0.663982268,2023
Carlos Rodon,6.644311978,1.409395559,105,0.438950621,2022
Aaron Nola,6.648175261,1.404000524,111,1.789140504,2022
Kevin Gausman,6.651041859,1.399997348,106,0.663982268,2021
Jose Urquidy,6.753191769,1.257346029,104,0.213918973,2022
Jameson Taillon,6.772260481,1.230716765,105,0.438950621,2022
Zack Wheeler,6.786765969,1.210459998,109,1.33907721,2023
Gerrit Cole,6.837009804,1.140294989,103,-0.011112674,2022
Tyler Mahle,6.900544059,1.051570042,107,0.889013915,2021
Sonny Gray,6.903085209,1.048021352,99,-0.911239263,2023
Aaron Nola,6.937829538,0.999501247,107,0.889013915,2023
Merrill Kelly,6.98356963,0.93562567,104,0.213918973,2022
Gerrit Cole,6.986653124,0.931319602,104,0.213918973,2023
Cristian Javier,7.012736892,0.894893883,98,-1.13627091,2023
Nick Pivetta,7.017965562,0.887592098,98,-1.13627091,2022
Pablo Lopez,7.022888574,0.880717161,108,1.114045563,2023
Shane Bieber,7.033626187,0.865722193,105,0.438950621,2022
Miles Mikolas,7.125623486,0.737248893,111,1.789140504,2022
Justin Steele,7.180916092,0.660033326,102,-0.236144321,2023
Robbie Ray,7.195913108,0.639090145,104,0.213918973,2021
Logan Gilbert,7.201225865,0.631670933,102,-0.236144321,2022
Julio Urias,7.208703935,0.621227884,103,-0.011112674,2022
Hyun Jin Ryu,7.254703027,0.556990616,106,0.663982268,2021
Gerrit Cole,7.272236691,0.532505031,106,0.663982268,2021
Justin Verlander,7.277532345,0.525109703,104,0.213918973,2022
Luis Castillo,7.315002009,0.472783696,104,0.213918973,2023
Zac Gallen,7.343878156,0.432458448,104,0.213918973,2023
Zack Greinke,7.391570277,0.365856882,103,-0.011112674,2021
Julio Urias,7.466952528,0.260586328,107,0.889013915,2021
Zack Wheeler,7.474592827,0.249916728,109,1.33907721,2021
Merrill Kelly,7.489190464,0.229531275,104,0.213918973,2023
Alek Manoah,7.519453072,0.187269848,101,-0.461175969,2022
Jordan Lyles,7.54135988,0.156677212,101,-0.461175969,2023
German Marquez,7.577409276,0.106334594,94,-2.0363975,2021
Pablo Lopez,7.584635711,0.09624295,106,0.663982268,2022
Lucas Giolito,7.600233512,0.074460778,100,-0.686207616,2021
Justin Verlander,7.617745359,0.050005661,100,-0.686207616,2023
Miles Mikolas,7.671164177,-0.02459318,112,2.014172152,2023
Max Scherzer,7.675655532,-0.030865312,102,-0.236144321,2021
George Kirby,7.682018937,-0.039751743,111,1.789140504,2023
Brandon Woodruff,7.688008556,-0.048116185,110,1.564108857,2021
Freddy Peralta,7.688222195,-0.04841453,104,0.213918973,2023
Jose Berrios,7.694309902,-0.056915951,102,-0.236144321,2022
Cole Irvin,7.757557318,-0.14524033,105,0.438950621,2021
Walker Buehler,7.771732335,-0.165035598,103,-0.011112674,2021
Logan Gilbert,7.785273154,-0.183945215,103,-0.011112674,2023
Zac Gallen,7.786142583,-0.185159364,101,-0.461175969,2022
Lance Lynn,7.801740951,-0.206942328,105,0.438950621,2023
Frankie Montas,7.869287858,-0.301270902,108,1.114045563,2021
Yusei Kikuchi,7.870264919,-0.302635358,99,-0.911239263,2023
Triston McKenzie,7.87211866,-0.305224088,102,-0.236144321,2022
Marco Gonzalez,7.904360659,-0.350249715,101,-0.461175969,2022
Chris Flexen,7.929109047,-0.384810589,105,0.438950621,2021
Dean Kremer,7.934873075,-0.392859996,103,-0.011112674,2023
JP Sears,7.948028665,-0.411231645,102,-0.236144321,2023
Jordan Lyles,7.98449746,-0.462159949,98,-1.13627091,2021
Jordan Lyles,7.988872817,-0.468270091,101,-0.461175969,2022
Gerrit Cole,8.045914213,-0.547927825,107,0.889013915,2020
German Marquez,8.063643137,-0.572686089,101,-0.461175969,2022
Lance Lynn,8.121751384,-0.65383367,107,0.889013915,2020
Dylan Cease,8.170251987,-0.721564273,95,-1.811365852,2023
Blake Snell,8.177615192,-0.731846914,91,-2.711492442,2023
Charlie Morton,8.210844713,-0.778251605,101,-0.461175969,2022
Dylan Cease,8.246157116,-0.82756502,95,-1.811365852,2021
Dylan Cease,8.258072723,-0.844205045,95,-1.811365852,2022
Joe Musgrove,8.272567658,-0.864447075,102,-0.236144321,2021
Nathan Eovaldi,8.302277426,-0.905936467,110,1.564108857,2021
Lucas Giolito,8.325817974,-0.938810604,100,-0.686207616,2023
Charlie Morton,8.400985106,-1.043780746,102,-0.236144321,2021
Kodai Senga,8.835491615,-1.650564704,97,-1.361302558,2023
Luis Castillo,8.866523766,-1.693900789,99,-0.911239263,2021
Johan Oviedo,8.900511547,-1.741364383,93,-2.261429147,2023
Shohei Ohtani,9.013686355,-1.899411861,95,-1.811365852,2022
Charlie Morton,9.030043636,-1.922254639,95,-1.811365852,2023
Jose Berrios,9.046008421,-1.9445493,102,-0.236144321,2021
Anthony DeSclafani,9.154494658,-2.096049236,103,-0.011112674,2021
Joe Musgrove,9.380363991,-2.411473481,107,0.889013915,2022
Yu Darvish,9.419951287,-2.466756741,105,0.438950621,2022
