Pitcher,Control,Year,Z
"Gausman, Kevin",6.291854101,2022,2.302277731
"Gausman, Kevin",6.384190863,2023,2.187460156
"Ryan, Joe",6.411228258,2023,2.153840089
"Nola, Aaron",6.596918061,2021,1.92294123
"Ober, Bailey",6.631108534,2023,1.880426558
"Rodón, Carlos",6.644311978,2022,1.864008531
"Nola, Aaron",6.648175261,2022,1.859204672
"Gausman, Kevin",6.651041859,2021,1.855640156
"Wheeler, Zack",6.710795754,2023,1.781338251
"Urquidy, José",6.753191769,2022,1.72862027
"Taillon, Jameson",6.772260481,2022,1.704908985
"Strider, Spencer",6.819267958,2023,1.646456811
"Cole, Gerrit",6.837009804,2022,1.624395438
"Cole, Gerrit",6.84592659,2023,1.613307722
"Mahle, Tyler",6.900544059,2021,1.545392785
"Williams, Trevor",6.902144603,2023,1.543402564
"Gray, Sonny",6.905458384,2023,1.539281992
"Javier, Cristian",6.922364489,2022,1.518259834
"Nola, Aaron",6.951658665,2023,1.481833538
"Javier, Cristian",6.961455681,2023,1.469651287
"Manaea, Sean",6.965835121,2023,1.464205604
"Kelly, Merrill",6.98356963,2022,1.442153355
"Ryan, Joe",7.00267568,2022,1.418395641
"Pivetta, Nick",7.017965562,2022,1.399383201
"Bieber, Shane",7.033626187,2022,1.379909754
"Senzatela, Antonio",7.085335313,2021,1.315611241
"Rodriguez, Eduardo",7.085554858,2023,1.315338245
"Mikolas, Miles",7.125623486,2022,1.265514289
"Severino, Luis",7.137876547,2023,1.250278031
"López, Pablo",7.192073123,2023,1.18288646
"Ray, Robbie",7.195913108,2021,1.178111571
"Gilbert, Logan",7.201225865,2022,1.171505342
"Urías, Julio",7.208703935,2022,1.16220662
"Luzardo, Jesús",7.219381627,2023,1.148929278
"Gonzales, Marco",7.220479143,2021,1.147564555
"Taillon, Jameson",7.226476424,2021,1.140107143
"Kirby, George",7.24338231,2022,1.119085258
"Ryu, Hyun Jin",7.254703027,2021,1.105008337
"Greinke, Zack",7.254811263,2022,1.104873749
"Williams, Trevor",7.258280348,2021,1.100560062
"Odorizzi, Jake",7.265441673,2022,1.091655202
"Gallen, Zac",7.270002707,2023,1.085983713
"Nelson, Ryne",7.270031848,2023,1.085947477
"Wheeler, Zack",7.270686566,2022,1.085133358
"Odorizzi, Jake",7.271789219,2021,1.083762247
"Cole, Gerrit",7.272236691,2021,1.083205831
"Verlander, Justin",7.277532345,2022,1.076620868
"Sewald, Paul",7.295298046,2023,1.054529833
"Mahle, Tyler",7.298149467,2022,1.050984189
"Pivetta, Nick",7.301527853,2023,1.046783283
"Happ, J.A.",7.306764319,2021,1.040271918
"Castillo, Luis",7.318601871,2023,1.025552331
"Ober, Bailey",7.335629865,2021,1.004378608
"Snell, Blake",7.365915949,2021,0.966718908
"Heaney, Andrew",7.382964625,2021,0.945519469
"Pineda, Michael",7.388515626,2021,0.93861699
"Greinke, Zack",7.391570277,2021,0.934818637
"Megill, Tylor",7.426188224,2023,0.891772416
"Eovaldi, Nathan",7.444925584,2022,0.868473155
"Severino, Luis",7.447975841,2022,0.864680266
"Woodruff, Brandon",7.4501104,2022,0.862026016
"Taillon, Jameson",7.451244329,2023,0.860616014
"Cueto, Johnny",7.452930185,2021,0.85851971
"Urías, Julio",7.466952528,2021,0.841083411
"Kelly, Merrill",7.467589268,2021,0.840291647
"Clevinger, Mike",7.467687297,2023,0.840169751
"Wheeler, Zack",7.474592827,2021,0.831582963
"Strider, Spencer",7.49446996,2022,0.806866434
"Mikolas, Miles",7.497891495,2023,0.802611874
"Heaney, Andrew",7.508818342,2023,0.789024717
"Rodriguez, Grayson",7.515635518,2023,0.780547794
"Manoah, Alek",7.519453072,2022,0.775800797
"Manaea, Sean",7.531587087,2022,0.760712569
"Gilbert, Logan",7.5366822,2021,0.754376972
"Kelly, Merrill",7.540535034,2023,0.749586105
"Kimbrel, Craig",7.55453882,2022,0.732172881
"Márquez, Germán",7.577409276,2021,0.703734259
"López, Pablo",7.584635711,2022,0.694748436
"Wells, Tyler",7.598702391,2023,0.677257005
"Giolito, Lucas",7.600233512,2021,0.675353109
"Lynn, Lance",7.602667875,2021,0.672326063
"Sewald, Paul",7.604701762,2021,0.669796995
"Rodríguez, Richard",7.605679714,2021,0.668580945
"Giolito, Lucas",7.6078954,2022,0.665825816
"Hendriks, Liam",7.612251547,2021,0.660409098
"Kennedy, Ian",7.627400302,2021,0.641572144
"France, J.P.",7.627946992,2023,0.640892354
"Gallen, Zac",7.629032637,2021,0.639542392
"Verlander, Justin",7.642311397,2023,0.623030712
"Peralta, Freddy",7.645489555,2023,0.619078782
"Richards, Garrett",7.650956349,2021,0.612281013
"Lynn, Lance",7.654411413,2023,0.60798476
"Williams, Trevor",7.669111469,2022,0.589705748
"Scherzer, Max",7.675655532,2021,0.581568432
"Scherzer, Max",7.687127908,2023,0.567302928
"Woodruff, Brandon",7.688008556,2021,0.566207873
"Berríos, José",7.694309902,2022,0.558372367
"Paddack, Chris",7.698080608,2021,0.553683624
"Suter, Brent",7.702305803,2021,0.54842974
"Plesac, Zach",7.70385088,2021,0.54650849
"Weathers, Ryan",7.710553678,2021,0.538173792
"Sheehan, Emmet",7.732959686,2023,0.510312695
"Scherzer, Max",7.749031149,2022,0.490328385
"Kikuchi, Yusei",7.750120122,2023,0.488974285
"Smith, Caleb",7.756743412,2021,0.480738453
"Irvin, Cole",7.757557318,2021,0.479726389
"Megill, Tylor",7.758589774,2021,0.478442565
"Greene, Hunter",7.758821599,2022,0.478154299
"Montas, Frankie",7.76533535,2022,0.470054674
"Buehler, Walker",7.771732335,2021,0.462100244
"Rasmussen, Drew",7.773640338,2021,0.459727709
"Gilbert, Logan",7.773692604,2023,0.459662718
"Kennedy, Ian",7.775132792,2022,0.457871894
"Garcia, Luis",7.775148288,2022,0.457852625
"Pfaadt, Brandon",7.780470373,2023,0.451234796
"Lyles, Jordan",7.786044427,2023,0.444303652
"Gallen, Zac",7.786142583,2022,0.444181599
"Kremer, Dean",7.793554896,2023,0.434964643
"Glasnow, Tyler",7.793776317,2023,0.434689314
"Steele, Justin",7.800853437,2023,0.42588916
"Montero, Rafael",7.808484417,2023,0.416400299
"Pérez, Eury",7.808767473,2023,0.416048329
