,Pitcher,NinetyFive,Five,Median Control,Pis,Mus,Covariances
15,"Berríos, José",5.514943297,9.747407742,6.453123222,[0.12515313 0.47677986 0.16524057 0.23282645],"[[-0.19718556 1.81803145],[0.52706152 2.63908189],[-1.07979555 2.99861229],[-0.38093289 2.63982139]]","[[[0.11772411 -0.04213316],[-0.04213316 0.04621022]]:[[0.17926443 -0.10202868],[-0.10202868 0.28116529]]:[[0.05382525 0.03865477],[0.03865477 0.17936576]]:[[0.07483446 0.06117895],[0.06117895 0.27634485]]]"
13,"Stroman, Marcus",5.384527539,8.58484999,6.687062887,[0.3044294  0.34200398 0.35356662],"[[-0.13527598 2.19225804],[-0.69267777 2.0494278],[-0.05730227 1.28743859]]","[[[0.15978139 0.0029377],[0.0029377 0.19485866]]:[[0.17042775 -0.09530152],[-0.09530152 0.19092061]]:[[0.30290774 0.00451002],[0.00451002 0.13040812]]]"
19,"Eflin, Zach",5.676829857,9.549736483,6.852713085,[0.4366073  0.35533434 0.20805835],"[[0.17419647 2.48774468],[-0.90967341 2.42953024],[-0.49700988 1.48468727]]","[[[0.2161411 -0.04067393],[-0.04067393 0.3079553]]:[[0.22979078 -0.02279937],[-0.02279937 0.19321085]]:[[0.19605936 -0.03873323],[-0.03873323 0.06233458]]]"
12,"Bassitt, Chris",6.169051753,8.872088578,6.948178924,[0.2500915  0.38555646 0.05707922 0.30727282],"[[-0.45658598 3.23193659],[0.10732572 2.23138758],[-0.96537067 2.2990877],[0.08435538 2.7092621]]","[[[0.19614926 0.01429907],[0.01429907 0.09257722]]:[[0.21851325 -0.0497472],[-0.0497472 0.16805103]]:[[0.06695091 0.10936555],[0.10936555 0.18387061]]:[[0.3016757 0.14079449],[0.14079449 0.25576946]]]"
8,"Rogers, Tyler",5.288732516,9.266553456,6.9682134,[0.67929498 0.13823928 0.13199047 0.05047528],"[[-0.49530559 2.35011563],[ 0.84563094 2.41024625],[0.28737715 2.03115706],[-1.23842393 1.55296095]]","[[[0.23901369 -0.00206382],[-0.00206382 0.26350385]]:[[0.03131745 -0.00191579],[-0.00191579 0.15294879]]:[[0.12484548 -0.14050851],[-0.14050851 0.19183795]]:[[0.09941169 0.0283197],[0.0283197 0.01622739]]]"
23,"Alcantara, Sandy",5.810666737,8.863115417,7.256526933,[0.76248001 0.23751999],"[[-0.57838456 2.57077634],[0.16416073 1.66928444]]","[[[0.21981205 -0.03915477],[-0.03915477 0.2372166]]:[[0.1485653 0.03893454],[0.03893454 0.07960091]]]"
21,"Cobb, Alex",5.898207788,9.393997256,7.271969136,[0.44472823 0.12276824 0.43250353],"[[-0.37550464 2.76153679],[0.09654335 3.91480903],[0.57678211 2.80988093]]","[[[0.18678588 -0.02723993],[-0.02723993 0.3223095]]:[[0.24777753 -0.0155905],[-0.0155905 0.03748941]]:[[0.21828984 -0.11437975],[-0.11437975 0.2498177]]]"
6,"Tonkin, Michael",5.978922929,8.774935565,7.340003394,[0.54256008 0.45743992],"[[-0.73025591 2.88407446],[0.18543293 2.78495222]]","[[[1.80919043e-01 -7.04986314e-02],[-7.04986314e-02 2.58005085e-01]]:[[2.45370801e-01 -2.26940201e-04],[-2.26940201e-04 2.53543861e-01]]]"
22,"Singer, Brady",6.682985602,10.117942,7.371161937,[0.46542742 0.1813806  0.26482261 0.08836937],"[[0.41442086 2.6873695],[-0.81364426 2.75107983],[0.10795278 2.06156881],[1.09818666 1.65361651]]","[[[0.29908731 -0.01399189],[-0.01399189 0.2647712]]:[[0.0931867 0.01669593],[0.01669593 0.31339449]]:[[0.2025928 0.00121452],[0.00121452 0.18000613]]:[[0.13683365 -0.02914496],[-0.02914496 0.09465949]]]"
7,"Mikolas, Miles",5.611215416,9.188566316,7.477080779,[0.41601895 0.58398105],"[[ 0.58666954 2.5601962],[-0.35156453 2.55785261]]","[[[0.17235811 -0.01850381],[-0.01850381 0.37724191]]:[[0.12928821 -0.03368637],[-0.03368637 0.32409275]]]"
