,Pitcher,Control,Pis,Mus,Covariances
43,"Williams, Trevor",7.088556437,"[0.49578462,0.50421538]","[[-1.13710047,1.91424302],[-0.35982295,1.76185653]]","[[[0.13109517,-0.02341111],[-0.02341111,0.1843737]],[[0.13090787,-0.02144536],[-0.02144536,0.20491073]]]"
79,"Valdez, Framber",7.093433833,"[0.30085078,0.13175377,0.23294119,0.33445427]","[[-0.29520104,2.44814548],[0.46845994,3.46222884],[-0.29594589,1.32567227],[0.35339135,2.4846013]]","[[[0.1323289,0.03592762],[0.03592762,0.2432449]],[[0.17274079,-0.02702661],[-0.02702661,0.05586978]],[[0.16687597,-0.02031987],[-0.02031987,0.13543192]],[[0.14784273,0.00354922],[0.00354922,0.23625035]]]"
5,"Houser, Adrian",7.306377287,"[0.40149441,0.04230619,0.22337093,0.33282847]","[[-0.64258188,2.16858571],[-1.52893224,2.22014117],[0.4586372,1.46010153],[0.32004046,2.46282211]]","[[[0.17302528,-0.05445905],[-0.05445905,0.16842241]],[[0.01151555,0.03908821],[0.03908821,0.34480733]],[[0.30656639,0.05432482],[0.05432482,0.09456594]],[[0.2949149,-0.06534549],[-0.06534549,0.16626669]]]"
49,"Blach, Ty",7.358972399,"[0.3921322,0.42186159,0.10835393,0.07765228]","[[0.01291378,2.81634216],[-0.21811478,2.04554944],[1.0357213,2.31282061],[-1.28088776,2.16665395]]","[[[0.25629649,-0.07409171],[-0.07409171,0.13011517]],[[0.29459214,-0.07278851],[-0.07278851,0.13301724]],[[0.05175401,-0.02694273],[-0.02694273,0.16867877]],[[0.0225616,-0.02528134],[-0.02528134,0.22192072]]]"
53,"Hendricks, Kyle",7.359455164,"[0.45746021,0.26921873,0.04485509,0.22846597]","[[0.17779314,2.42109067],[-1.15459398,2.70979976],[0.79589621,1.4516055],[-0.73339981,1.93180362]]","[[[0.301186,-0.13005106],[-0.13005106,0.22925199]],[[0.12713197,-0.03902653],[-0.03902653,0.10235106]],[[0.06536261,0.02543168],[0.02543168,0.02417133]],[[0.22108727,-0.03344299],[-0.03344299,0.09447666]]]"
99,"Singer, Brady",7.419734691,"[0.37574324,0.34788016,0.19422845,0.08214815]","[[-0.3140709,2.81440615],[-0.00559942,2.08638847],[0.93751821,2.48240996],[1.37544764,1.60186376]]","[[[0.26307111,0.02275955],[0.02275955,0.16999226]],[[0.21473891,-0.0017184],[-0.0017184,0.20026845]],[[0.10337811,0.01602248],[0.01602248,0.06026396]],[[0.07617157,0.03921972],[0.03921972,0.09967668]]]"
24,"Quintana, Jose",7.484238128,"[0.49282904,0.50717096]","[[0.81266947,2.67469239],[0.08976729,1.78829609]]","[[[0.17645131,-0.04990446],[-0.04990446,0.25497543]],[[0.17159915,-0.02361552],[-0.02361552,0.22354376]]]"
62,"Peterson, David",7.512507049,"[0.46173496,0.28982387,0.24844117]","[[0.41028539,1.76799772],[1.17010374,2.90825722],[0.2358259,2.63418905]]","[[[0.36505083,0.10710137],[0.10710137,0.17957624]],[[0.11377211,0.05288847],[0.05288847,0.14225425]],[[0.14483048,0.0287976],[0.0287976,0.19658739]]]"
74,"Suárez, Ranger",7.547230688,"[0.11160179,0.26971973,0.61867848]","[[0.08329988,3.0910244],[-0.71890691,2.26358516],[0.52724431,2.13671549]]","[[[0.16159093,0.00086213],[0.00086213,0.02138853]],[[0.09986074,0.0009068],[0.0009068,0.2240244]],[[0.21591368,0.07908152],[0.07908152,0.2231572]]]"
108,"Matz, Steven",7.596415908,"[0.28542468,0.24741119,0.30701169,0.16015244]","[[-0.10134506,2.48426838],[0.83532429,3.10803563],[0.05232345,3.39877226],[-1.00062405,2.63585896]]","[[[0.2176226,-0.08231699],[-0.08231699,0.17160629]],[[0.14139087,0.05022125],[0.05022125,0.27438354]],[[0.14659586,-0.05198904],[-0.05198904,0.19639929]],[[0.05138739,-0.02814866],[-0.02814866,0.22849323]]]"
72,"Bello, Brayan",7.707532873,"[0.5123208,0.18474576,0.30293344]","[[-0.19853694,1.98058241],[-0.98934068,2.5544677],[0.70940355,1.99410608]]","[[[0.18951332,0.01591711],[0.01591711,0.22758466]],[[0.1197381,0.04594877],[0.04594877,0.23807924]],[[0.1440774,-0.04654679],[-0.04654679,0.28010898]]]"
75,"Berríos, José",7.718984336,"[0.42697917,0.24355628,0.32946455]","[[0.08443185,2.36414893],[0.86930019,1.95492616],[-0.94677937,2.33182146]]","[[[0.12292439,-0.05271875],[-0.05271875,0.24831139]],[[0.15704499,-0.02335718],[-0.02335718,0.19363991]],[[0.23804045,-0.12035068],[-0.12035068,0.30130374]]]"
87,"Eflin, Zach",7.737296921,"[0.18192541,0.50034156,0.31773303]","[[-1.10935608,1.72082633],[0.08632808,1.82450139],[-0.68898326,2.29153232]]","[[[0.11556772,-0.06790951],[-0.06790951,0.18810919]],[[0.23595781,-0.03377428],[-0.03377428,0.22960713]],[[0.18055361,-0.09988515],[-0.09988515,0.1341366]]]"
73,"Corbin, Patrick",7.746035764,"[0.30685467,0.20171024,0.20676645,0.28466865]","[[0.5469165,2.71162936],[-0.24458638,2.02531834],[-0.5116981,2.90624298],[0.55444707,1.78208209]]","[[[0.2410432,-0.00195744],[-0.00195744,0.23062583]],[[0.27657084,0.00418398],[0.00418398,0.15101736]],[[0.18120946,0.04154292],[0.04154292,0.23168663]],[[0.20528286,0.06152563],[0.06152563,0.17747268]]]"
77,"Garrett, Braxton",7.7602087,"[0.26902798,0.16877365,0.12320141,0.43899695]","[[-0.76511934,2.41930985],[0.88930717,2.08022241],[-0.01280211,1.30454114],[0.10733665,2.33548975]]","[[[0.18343143,0.02256074],[0.02256074,0.28495612]],[[0.15928692,0.06291171],[0.06291171,0.26296572]],[[0.26729014,-0.02182184],[-0.02182184,0.03602071]],[[0.14179767,0.06971193],[0.06971193,0.25898164]]]"
55,"Graterol, Brusdar",7.945581473,"[0.69385702,0.30614298]","[[-0.54179947,2.91026973],[0.59267541,2.39452963]]","[[[0.22044684,-0.0174201],[-0.0174201,0.2468861]],[[0.1593231,0.02540053],[0.02540053,0.19595743]]]"
92,"Irvin, Jake",7.960307862,"[0.236211,0.41759167,0.34619733]","[[-0.01096016,3.23656927],[-0.45506668,2.33396854],[0.5987729,2.23355746]]","[[[0.39518739,0.03362199],[0.03362199,0.05259706]],[[0.24022075,-0.05840418],[-0.05840418,0.19772204]],[[0.16230304,-0.0612931],[-0.0612931,0.17463194]]]"
90,"Webb, Logan",8.008818938,"[0.5667001,0.24623049,0.18706941]","[[0.73028271,2.39759759],[-0.32654938,2.79581052],[-0.49872338,1.82248252]]","[[[0.26193928,-0.03044354],[-0.03044354,0.22985788]],[[0.23979592,0.00302564],[0.00302564,0.09176501]],[[0.3099341,0.00076246],[0.00076246,0.07788662]]]"
