Pitcher,Year,Control,Stuff+,IP,FIP
"Singer, Brady",2023,7.662051837,92,159.66,4.29
"DeSclafani, Anthony",2023,8.092308601,90,99.66,4.35
"Elder, Bryce",2023,8.382947979,106,174.66,4.42
"Strider, Spencer",2023,8.387096826,114,186.66,2.85
"Mikolas, Miles",2023,8.414440044,96,201.33,4.27
"Gray, Jon",2023,8.575089652,114,157.33,4.47
"Oviedo, Johan",2023,8.605549888,107,177.66,4.49
"Flaherty, Jack",2023,8.797149883,91,144.33,4.36
"Castillo, Luis",2023,8.812128423,112,197,3.81
"Cease, Dylan",2023,8.93535443,116,177,3.72
"Brown, Hunter",2023,8.984579375,90,155.66,4.37
"Gilbert, Logan",2023,9.09414308,104,190.66,3.85
"Bradish, Kyle",2023,9.207295429,111,168.66,3.27
"Ashcraft, Graham",2023,9.376047384,119,145.66,5.06
"Luzardo, Jesús",2023,9.457319986,129,178.66,3.55
"Webb, Logan",2023,9.578152922,92,216,3.16
"Greene, Hunter",2023,9.744362343,125,112,4.25
"Hamilton, Ian",2023,9.799140968,113,58,2.82
"Glasnow, Tyler",2023,9.809129723,101,120,2.91
"Brash, Matt",2023,10.05231734,130,70.2,2.26
"Junis, Jakob",2023,10.10750172,111,86,3.74
"Verlander, Justin",2023,10.25156578,115,162.33,3.85
"Santos, Gregory",2023,10.28125225,120,66.33,2.65
"Houck, Tanner",2023,10.28966096,104,106,4.43
"Gray, Josiah",2023,10.36421674,103,159,4.93
"Okert, Steven",2023,10.44721464,118,58.66,4.09
"Vasquez, Andrew",2023,10.51390226,115,48.33,4.41
"Díaz, Alexis",2023,10.89857656,103,67.33,3.52
"Lorenzen, Michael",2023,11.03723168,108,153,4.46
"Steele, Justin",2023,11.15002947,124,173.33,3.02
"Abreu, Bryan",2023,11.43006703,120,72,2.98
"Javier, Cristian",2023,11.43758746,113,162,4.58
"Mikolas, Miles",2022,7.537199266,96,202.33,3.87
"Singer, Brady",2022,7.758437066,96,153.33,3.58
"Alcantara, Sandy",2022,7.934127764,112,228.66,2.99
"Junis, Jakob",2022,8.290663441,112,112,3.65
"Darvish, Yu",2022,8.420009609,106,136.33,4.03
"Kuhl, Chad",2022,8.632109925,98,137,5.26
"Musgrove, Joe",2022,8.927270044,115,181,3.59
"Cease, Dylan",2022,8.953890129,126,184,3.1
"Muñoz, Andrés",2022,9.32151734,143,65,2.04
"Verlander, Justin",2022,9.365165184,118,175,2.49
"Keller, Brad",2022,9.660106762,102,139.66,4.5
"Greene, Hunter",2022,9.715182441,130,125.66,4.37
"Manoah, Alek",2022,9.73139172,110,196.66,3.35
"Wisler, Matt",2022,10.23922395,97,44,4.25
"Archer, Chris",2022,10.86413,104,102.66,4.49
"Márquez, Germán",2022,11.40442626,100,181.66,4.71
"Strider, Spencer",2022,11.94062773,117,131.66,1.83
"Mahle, Tyler",2021,8.197159743,113,180,3.86
"Corbin, Patrick",2021,8.248878227,106,171.66,5.41
"Cease, Dylan",2021,8.580144822,129,165.66,3.41
"Singer, Brady",2021,8.847873665,94,128.33,4.04
"Darvish, Yu",2021,8.878497282,113,166.33,3.9
"Alzolay, Adbert",2021,9.058797771,106,125.66,4.65
"Alcantara, Sandy",2021,9.110415298,113,205.66,3.42
"Wisler, Matt",2021,9.223454093,106,48.66,2.96
"Senzatela, Antonio",2021,9.234875171,10,156.66,3.61
"Musgrove, Joe",2021,9.618645975,124,181.33,3.7
"Márquez, Germán",2021,9.665226012,113,180,3.86
"Ynoa, Huascar",2021,9.711635412,120,91,3.93
"Gray, Jon",2021,9.798618943,109,149,4.22
"DeSclafani, Anthony",2021,9.844510267,93,167.66,3.62
"Keller, Brad",2021,9.871685729,105,133.66,4.72
"Brubaker, JT",2021,9.872188241,100,124.33,5.16
"Kim, Kwang Hyun",2021,9.907703418,91,106.66,4.34
"Kuhl, Chad",2021,10.38054153,94,80.33,5.31
"Smith, Caleb",2021,11.00680842,111,113.66,5.1
"Adams, Austin",2021,11.29329332,103,52.66,3.89
"Kinley, Tyler",2021,12.38347391,116,70.33,4.65
