,Pitcher,Control,Pis,Mus,Covariances
8,"Junis, Jakob",7.51927732597221,[0.58010619 0.16932735 0.25056646],"[[ 0.5637965   1.68239049]
 [-0.9463177   2.84057938]
 [-0.38553994  2.25194767]]","[[[ 0.20326659 -0.05390728]
  [-0.05390728  0.27863364]]

 [[ 0.1361579   0.04493479]
  [ 0.04493479  0.08687584]]

 [[ 0.06903541  0.05858714]
  [ 0.05858714  0.20251738]]]"
13,"Alcantara, Sandy",8.083531681111513,[0.19182755 0.21460537 0.31750506 0.21654495 0.05951707],"[[-0.70211043  2.17375367]
 [-0.20408724  2.62204112]
 [ 0.25740662  1.49485663]
 [-0.29831015  2.54212375]
 [-0.45079212  0.8937581 ]]","[[[ 0.18855574  0.05686252]
  [ 0.05686252  0.05247169]]

 [[ 0.4861181  -0.03870577]
  [-0.03870577  0.07647787]]

 [[ 0.25909357 -0.02137074]
  [-0.02137074  0.06974621]]

 [[ 0.55818033 -0.3244296 ]
  [-0.3244296   0.21086734]]

 [[ 0.08969588 -0.03914614]
  [-0.03914614  0.0444828 ]]]"
11,"Darvish, Yu",8.090975517512154,[0.16491977 0.4127368  0.42234342],"[[-0.41659303  2.16026668]
 [ 0.01095554  2.84759604]
 [ 0.35118973  1.79617245]]","[[[ 0.1410288   0.00067563]
  [ 0.00067563  0.16709706]]

 [[ 0.25493621 -0.09112586]
  [-0.09112586  0.18185657]]

 [[ 0.15899403 -0.05608605]
  [-0.05608605  0.20502874]]]"
9,"Singer, Brady",8.671945974320856,[0.57108695 0.42891305],"[[ 0.89274678  1.6176462 ]
 [-0.10148606  2.11269028]]","[[[ 0.18379285 -0.07501679]
  [-0.07501679  0.28569421]]

 [[ 0.1872561  -0.04906753]
  [-0.04906753  0.30487074]]]"
10,"Kuhl, Chad",8.881927383835645,[0.46218918 0.11494969 0.42286113],"[[ 0.29230842  1.5377791 ]
 [-1.22177502  2.38178569]
 [-0.51971632  2.36878067]]","[[[ 0.25403035 -0.10772156]
  [-0.10772156  0.37799363]]

 [[ 0.07955984  0.02036629]
  [ 0.02036629  0.72168908]]

 [[ 0.24123724  0.10807252]
  [ 0.10807252  0.19747453]]]"
4,"Mikolas, Miles",9.226626675951561,[0.60157471 0.39842529],"[[1.04466884 2.41346515]
 [0.23406482 2.29107974]]","[[[ 0.11480397 -0.10054326]
  [-0.10054326  0.43162182]]

 [[ 0.22195188 -0.0325277 ]
  [-0.0325277   0.35112159]]]"
5,"Musgrove, Joe",9.348483179172549,[0.51727918 0.21043704 0.27228378],"[[ 0.3635266   1.76414298]
 [-0.48252847  2.60249313]
 [ 0.19000225  1.08660074]]","[[[ 0.45259469 -0.11572855]
  [-0.11572855  0.13923949]]

 [[ 0.22698376 -0.04622859]
  [-0.04622859  0.06023756]]

 [[ 0.62540138 -0.22714953]
  [-0.22714953  0.15541112]]]"
2,"Muñoz, Andrés",9.382668295668147,[0.24611988 0.75388012],"[[ 1.11219424  1.53210589]
 [-0.03988665  2.01699847]]","[[[ 0.12289191 -0.00269056]
  [-0.00269056  0.3589334 ]]

 [[ 0.26835756 -0.01586034]
  [-0.01586034  0.35604232]]]"
3,"Greene, Hunter",9.454339046976868,[0.09545037 0.14161559 0.27793554 0.4849985 ],"[[-0.66760168  1.6740055 ]
 [ 0.96643962  1.57807118]
 [ 0.3679921   1.14128752]
 [ 0.01466312  2.10624519]]","[[[ 0.14502583 -0.26765347]
  [-0.26765347  0.54395607]]

 [[ 0.23953753 -0.25049413]
  [-0.25049413  0.27957751]]

 [[ 0.4033983  -0.090807  ]
  [-0.090807    0.16493374]]

 [[ 0.35010592 -0.05727079]
  [-0.05727079  0.22744446]]]"
17,"Wisler, Matt",9.816224530060788,[0.64533164 0.18042766 0.17424069],"[[ 0.25699907  2.17437709]
 [-0.8408876   3.17124038]
 [-0.60058137  1.88754608]]","[[[ 0.26402391 -0.07109264]
  [-0.07109264  0.61500322]]

 [[ 0.17019009  0.09390141]
  [ 0.09390141  0.24725053]]

 [[ 0.09100328 -0.0041979 ]
  [-0.0041979   0.01826871]]]"
7,"Cease, Dylan",9.861304994085213,[0.65583826 0.34416174],"[[0.36274672 2.26088132]
 [0.77109211 0.99422506]]","[[[ 0.29939891 -0.00367918]
  [-0.00367918  0.45782705]]

 [[ 0.25583695 -0.0630319 ]
  [-0.0630319   0.35806916]]]"
12,"Manoah, Alek",10.308746905907023,[0.76795005 0.23204995],"[[-0.18832461  2.06019644]
 [ 1.10771526  1.10843232]]","[[[ 0.3956533  -0.09650107]
  [-0.09650107  0.48237976]]

 [[ 0.17079197  0.00965687]
  [ 0.00965687  0.21279038]]]"
1,"Verlander, Justin",10.517116001780806,[1.],[[0.54177122 2.00564576]],"[[[ 0.1844045  -0.08798159]
  [-0.08798159  0.53506175]]]"
0,"Gomber, Austin",10.87012396347783,[1.],[[-0.5158498   1.92747036]],"[[[0.2213486  0.1600018 ]
  [0.1600018  0.57200172]]]"
15,"Strider, Spencer",11.165598271194762,[0.85348192 0.14651808],"[[0.17603185 1.74050416]
 [1.25135745 0.47254854]]","[[[ 0.3989781  -0.16998367]
  [-0.16998367  0.66693572]]

 [[ 0.10652697 -0.03311324]
  [-0.03311324  0.14055299]]]"
14,"Keller, Brad",11.175852724605924,[0.04161572 0.05888131 0.21828395 0.532865   0.14835402],"[[-0.20511557  2.7394186 ]
 [ 0.55756969  0.13903972]
 [ 0.39328008  1.96046835]
 [-0.13246526  1.5129805 ]
 [-0.51675152  2.52061152]]","[[[ 0.5328321   0.19547256]
  [ 0.19547256  0.0719404 ]]

 [[ 0.01441621 -0.00904378]
  [-0.00904378  0.01135165]]

 [[ 0.29961264 -0.35505384]
  [-0.35505384  0.63245572]]

 [[ 0.23257468 -0.09237593]
  [-0.09237593  0.52185991]]

 [[ 0.20308414 -0.15928271]
  [-0.15928271  0.13745036]]]"
16,"Archer, Chris",12.506611910277567,[1.],[[-0.13170543  2.00965116]],"[[[ 0.36066088 -0.18669827]
  [-0.18669827  0.8855532 ]]]"
6,"Márquez, Germán",12.659124585704985,[1.],[[-0.2157265   2.04811966]],"[[[ 0.47955539 -0.29487487]
  [-0.29487487  0.53451114]]]"
