,Pitcher,Control,Pis,Mus,Covariances
49,"Mikolas, Miles",5.847771856085151,[0.10234111 0.18228598 0.34851037 0.36686255],"[[0.16408754 2.71701182]
 [1.56365379 1.33851975]
 [0.84285712 1.60816711]
 [0.75128807 2.27651335]]","[[[ 0.02371872  0.01836302]
  [ 0.01836302  0.049208  ]]

 [[ 0.05737267  0.0371151 ]
  [ 0.0371151   0.13017834]]

 [[ 0.07413167 -0.00668996]
  [-0.00668996  0.20425648]]

 [[ 0.18797671  0.07260975]
  [ 0.07260975  0.1727018 ]]]"
80,"Singer, Brady",6.844928157949404,[0.45777767 0.21094405 0.33127829],"[[0.78913374 1.80510249]
 [0.2171267  2.54832432]
 [1.07986379 1.03529667]]","[[[ 0.2180183  -0.03935483]
  [-0.03935483  0.12526257]]

 [[ 0.12549624 -0.03126908]
  [-0.03126908  0.07238782]]

 [[ 0.24971024 -0.06048497]
  [-0.06048497  0.156557  ]]]"
31,"Taillon, Jameson",7.001551764381606,[0.13725967 0.46740683 0.3953335 ],"[[-0.10443736  2.32707399]
 [ 0.42783186  1.98472237]
 [ 1.00093184  1.2760219 ]]","[[[ 0.06891603 -0.01831881]
  [-0.01831881  0.13875758]]

 [[ 0.09823664  0.0936331 ]
  [ 0.0936331   0.28002756]]

 [[ 0.09479638 -0.01516833]
  [-0.01516833  0.28874846]]]"
55,"Bieber, Shane",7.436033134384078,[0.29297519 0.22621413 0.48081068],"[[1.27130519 0.92628467]
 [0.1564454  2.52081537]
 [0.76033843 1.68876257]]","[[[ 0.10831832 -0.04830569]
  [-0.04830569  0.2239598 ]]

 [[ 0.08894243 -0.02459564]
  [-0.02459564  0.19709186]]

 [[ 0.12275964  0.01215185]
  [ 0.01215185  0.30663968]]]"
74,"Stripling, Ross",7.577406644904462,[0.5041095  0.28297802 0.21291247],"[[0.79154364 2.1428915 ]
 [0.56646542 1.40627415]
 [0.08298936 2.78454105]]","[[[ 0.12409918 -0.08070742]
  [-0.08070742  0.5037198 ]]

 [[ 0.15783778  0.02089603]
  [ 0.02089603  0.1151836 ]]

 [[ 0.03297133  0.00199802]
  [ 0.00199802  0.18447478]]]"
33,"Cole, Gerrit",7.691915767423952,[0.43558123 0.27204113 0.29237764],"[[0.21265861 2.18790398]
 [0.81750216 1.57483128]
 [1.29316429 0.98861605]]","[[[ 0.13058617 -0.06496597]
  [-0.06496597  0.29370056]]

 [[ 0.08750358  0.11432427]
  [ 0.11432427  0.28612016]]

 [[ 0.15220339 -0.0449959 ]
  [-0.0449959   0.24085152]]]"
7,"Kershaw, Clayton",7.700810494863521,[0.21975961 0.45906768 0.32117271],"[[-0.88527207  1.78418272]
 [-0.28861226  1.25308378]
 [-0.07733711  2.36733505]]","[[[0.07310112 0.01648507]
  [0.01648507 0.38700383]]

 [[0.18942881 0.08215362]
  [0.08215362 0.21986924]]

 [[0.13808385 0.04519351]
  [0.04519351 0.19539989]]]"
20,"Lynch IV, Daniel",7.702233654688243,[0.37559359 0.24030116 0.38410525],"[[ 0.02540621  2.66045548]
 [-1.12825833  0.89072678]
 [-0.3467572   1.72241341]]","[[[ 0.29467348 -0.00204547]
  [-0.00204547  0.19312505]]

 [[ 0.1323902  -0.01517367]
  [-0.01517367  0.22553449]]

 [[ 0.16813953 -0.02016218]
  [-0.02016218  0.21848227]]]"
85,"Alcantara, Sandy",7.784723847061699,[0.05674397 0.6007566  0.34249943],"[[ 0.58606736  2.05727401]
 [ 0.7451493   1.45992487]
 [-0.02658888  2.59199893]]","[[[ 0.38155156  0.15103245]
  [ 0.15103245  0.06182766]]

 [[ 0.22670144 -0.06666485]
  [-0.06666485  0.22614874]]

 [[ 0.21176849 -0.01714856]
  [-0.01714856  0.15960824]]]"
93,"Gibson, Kyle",7.813457394540132,[0.66602015 0.09335536 0.09402897 0.14659552],"[[1.05254032 1.67730361]
 [1.56665503 0.53782526]
 [0.44558652 1.26982045]
 [0.26056149 2.30078437]]","[[[ 0.27440121 -0.08560184]
  [-0.08560184  0.23500464]]

 [[ 0.10727988 -0.02041256]
  [-0.02041256  0.01047133]]

 [[ 0.12004943 -0.1401826 ]
  [-0.1401826   0.17767769]]

 [[ 0.10179476 -0.01969613]
  [-0.01969613  0.19733572]]]"
65,"Corbin, Patrick",7.839953195327375,[0.28460677 0.22893758 0.48645565],"[[ 0.23783246  2.21311927]
 [-0.9198344   0.30011401]
 [-0.34149015  1.29829245]]","[[[ 0.23106875 -0.00439031]
  [-0.00439031  0.20360176]]

 [[ 0.13941101  0.00573938]
  [ 0.00573938  0.1731935 ]]

 [[ 0.22348388 -0.02043204]
  [-0.02043204  0.25970505]]]"
53,"Woodruff, Brandon",7.854209036002008,[0.71692319 0.28307681],"[[1.10709632 1.39520874]
 [0.22548069 1.73080836]]","[[[ 0.17337559 -0.05230404]
  [-0.05230404  0.24917823]]

 [[ 0.08900102 -0.0652894 ]
  [-0.0652894   0.23090473]]]"
46,"Gonsolin, Tony",7.976789036647045,[0.5815649 0.4184351],"[[0.56726703 2.20749187]
 [1.20994463 1.20308203]]","[[[ 0.14315121 -0.02008158]
  [-0.02008158  0.25507635]]

 [[ 0.15579091  0.03641991]
  [ 0.03641991  0.30671062]]]"
71,"Cease, Dylan",8.04647526475785,[0.41049767 0.3040801  0.28542224],"[[0.46653342 2.63108527]
 [1.00933637 0.91058795]
 [0.69033283 1.70145008]]","[[[ 0.23130505 -0.04992496]
  [-0.04992496  0.21839746]]

 [[ 0.26092772  0.00718966]
  [ 0.00718966  0.23274318]]

 [[ 0.29167469  0.07363281]
  [ 0.07363281  0.07984452]]]"
16,"Burnes, Corbin",8.10428611853442,[0.44523478 0.55476522],"[[1.32513109 0.64895506]
 [0.58869474 1.68623158]]","[[[ 0.23536332 -0.00310238]
  [-0.00310238  0.19955735]]

 [[ 0.20439259 -0.05223141]
  [-0.05223141  0.25504849]]]"
28,"Brubaker, JT",8.141298078932595,[0.8177501 0.1822499],"[[0.67267684 1.94778215]
 [1.21718107 0.76525177]]","[[[ 0.19763954 -0.09961711]
  [-0.09961711  0.31182896]]

 [[ 0.16590814  0.00182568]
  [ 0.00182568  0.07423701]]]"
79,"Keller, Brad",8.144360799725417,[0.42579086 0.18556841 0.38864073],"[[ 0.15789059  1.83694476]
 [-0.3689525   2.53177672]
 [ 0.8944642   1.05549553]]","[[[ 0.1857117   0.08119314]
  [ 0.08119314  0.33809857]]

 [[ 0.11741046 -0.04001441]
  [-0.04001441  0.21362159]]

 [[ 0.17482637  0.01145089]
  [ 0.01145089  0.4644608 ]]]"
21,"Verlander, Justin",8.213214366484221,[0.29985948 0.70014052],"[[0.93808566 1.34629208]
 [0.61604991 2.25188351]]","[[[ 0.17041644 -0.01494632]
  [-0.01494632  0.18583564]]

 [[ 0.19287706 -0.03919875]
  [-0.03919875  0.30633482]]]"
102,"Wood, Alex",8.224400560260644,[0.29650017 0.44590796 0.25759187],"[[-0.97108729  1.86293373]
 [ 0.08603523  2.04147934]
 [-0.83869896  1.29950547]]","[[[0.14817757 0.09507311]
  [0.09507311 0.28067541]]

 [[0.18482423 0.06294099]
  [0.06294099 0.25049284]]

 [[0.18069858 0.06517499]
  [0.06517499 0.23485365]]]"
51,"Cueto, Johnny",8.225273143842585,[0.2699558 0.7300442],"[[-0.14583458  2.44699514]
 [ 0.86781751  1.85061215]]","[[[ 0.11762011  0.04850413]
  [ 0.04850413  0.26962118]]

 [[ 0.22945459 -0.00837747]
  [-0.00837747  0.28799534]]]"
42,"Barlow, Scott",8.277446755552578,[0.46935428 0.53064572],"[[0.8798584  1.28827315]
 [0.14926835 2.14590074]]","[[[ 0.35700418 -0.06582677]
  [-0.06582677  0.14902781]]

 [[ 0.32291396 -0.00604199]
  [-0.00604199  0.12474915]]]"
81,"Kuhl, Chad",8.382292466858967,[0.16725804 0.65505418 0.17768779],"[[1.71571018 1.45387578]
 [0.55108644 2.12458293]
 [0.19108592 3.13221241]]","[[[ 0.07698043 -0.02693702]
  [-0.02693702  0.17545059]]

 [[ 0.25907466 -0.04876661]
  [-0.04876661  0.22461468]]

 [[ 0.45440659  0.0250484 ]
  [ 0.0250484   0.06992484]]]"
41,"Carrasco, Carlos",8.476968842208766,[0.67759193 0.32240807],"[[ 0.99387932  1.53526177]
 [-0.0337661   2.36057319]]","[[[ 0.27199372 -0.12178012]
  [-0.12178012  0.29882841]]

 [[ 0.19095182 -0.0129169 ]
  [-0.0129169   0.17234862]]]"
89,"Gray, Josiah",8.495141817463344,[0.27945117 0.10204029 0.61850854],"[[-0.19706436  2.5433113 ]
 [ 1.33313442  0.91024285]
 [ 0.42212176  1.6096089 ]]","[[[ 0.3484943   0.01978382]
  [ 0.01978382  0.21008111]]

 [[ 0.10988736 -0.03592809]
  [-0.03592809  0.13513389]]

 [[ 0.35519292 -0.00334227]
  [-0.00334227  0.25694542]]]"
50,"Musgrove, Joe",8.506056909674527,[0.3436539 0.6563461],"[[0.25377838 2.14215635]
 [1.16397609 1.43566073]]","[[[ 0.16466854 -0.03440674]
  [-0.03440674  0.23534182]]

 [[ 0.29257685 -0.09049266]
  [-0.09049266  0.31636427]]]"
92,"Okert, Steven",8.51384634576998,[0.24100071 0.34733704 0.41166225],"[[ 0.92310137  2.6635305 ]
 [-0.45569273  1.21335251]
 [-0.08762541  2.06462319]]","[[[0.20402273 0.04787082]
  [0.04787082 0.25901585]]

 [[0.5051875  0.10585987]
  [0.10585987 0.14105321]]

 [[0.33830155 0.0586773 ]
  [0.0586773  0.1765517 ]]]"
12,"Brebbia, John",8.558841867362212,[0.64839198 0.06458177 0.28702625],"[[0.25628826 2.24066095]
 [0.72713086 0.87073018]
 [1.2527775  1.92188917]]","[[[ 0.18919186 -0.08344889]
  [-0.08344889  0.26937285]]

 [[ 0.8276036  -0.02011932]
  [-0.02011932  0.00323821]]

 [[ 0.1854329  -0.03733923]
  [-0.03733923  0.3327195 ]]]"
