,Pitcher,Control,Pi 1,Mu 1,Var 1,Pi 2,Mu 2,Var 2
18,"Gausman, Kevin",7.226978359429325,0.5214157483895051,[ 1.76622751 29.91934089],"[[ 1.91030637 -0.52251764]
 [-0.52251764  3.81112734]]",0.4785842516104952,[-7.58351334 33.0850356 ],"[[ 1.75288061 -0.09411336]
 [-0.09411336  3.3658055 ]]"
6,"Cortes, Nestor",7.369936183935964,0.2081857650498357,[ 0.75679099 40.434604  ],"[[ 1.80587758 -1.48158667]
 [-1.48158667  2.1278863 ]]",0.7918142349501637,[-5.50901731 28.12874816],"[[ 2.74318261 -0.19913228]
 [-0.19913228  3.85939868]]"
17,"Urías, Julio",7.470858987331609,0.6292380962128362,[ 3.01619459 34.92562246],"[[2.13159406 0.43267489]
 [0.43267489 4.75944934]]",0.3707619037871639,[-7.12414938 28.80962909],"[[1.69001934 0.04148689]
 [0.04148689 2.87086165]]"
8,"Manaea, Sean",7.547123592078099,0.5522216359173172,[ 3.70074591 35.16917544],"[[1.81131556 0.44220874]
 [0.44220874 5.09122328]]",0.4477783640826831,[-5.76278019 31.71513444],"[[1.4178885  0.00532167]
 [0.00532167 3.89812438]]"
23,"Gonzales, Marco",7.850468064287634,0.5799775452314412,[ 6.41226117 33.61517888],"[[2.30388277 0.42010741]
 [0.42010741 4.26350651]]",0.4200224547685587,[-5.65530381 33.90989851],"[[2.09676344 0.12886046]
 [0.12886046 4.12045327]]"
11,"Ray, Robbie",7.957929538085978,0.6192224138304793,[ 0.66854686 34.51834288],"[[ 3.4239475  -0.14386109]
 [-0.14386109  4.70612239]]",0.38077758616952045,[-6.01828033 29.73204749],"[[1.4081826  0.694571  ]
 [0.694571   3.43746947]]"
13,"Anderson, Tyler",8.02699670149839,0.7279244383050218,[-1.99203479 28.61695319],"[[ 1.94499052 -0.43506815]
 [-0.43506815  5.98355307]]",0.27207556169497765,[-11.83784706  20.78176824],"[[ 0.67446574 -0.21005532]
 [-0.21005532  4.62387125]]"
34,"Ryan, Joe",8.1310275842886,0.5654626368890238,[ 3.67868025 33.71872211],"[[ 2.92452123 -0.35142278]
 [-0.35142278  4.26252506]]",0.4345373631109761,[-6.87295082 36.05824315],"[[ 2.2450851  -0.52928315]
 [-0.52928315  4.27546605]]"
3,"Nola, Aaron",8.131741805478363,0.4907220540840291,[ 1.16421935 35.93797929],"[[ 3.08896756 -0.81034213]
 [-0.81034213  4.51955086]]",0.5092779459159706,[-9.27333688 31.77454575],"[[ 2.09343073 -1.07045119]
 [-1.07045119  4.24874126]]"
27,"Lauer, Eric",8.140328817941613,0.4806864835979159,[-0.14914329 31.68051115],"[[2.03340632 0.75620112]
 [0.75620112 4.66121053]]",0.5193135164020841,[-8.08769237 27.39209419],"[[2.162933   1.37227016]
 [1.37227016 5.04163752]]"
