,Pitcher,Control,Pi 1,Mu 1,Var 1,Pi 2,Mu 2,Var 2
31,"López, Pablo",7.3086887886088014,0.7506788239960281,[ 4.73412272 27.84969535],"[[ 2.92424969 -0.07483102]
 [-0.07483102  3.47190575]]",0.24932117600397188,[-6.46122044 34.08640517],"[[1.60913849 0.64818613]
 [0.64818613 3.05109906]]"
3,"Nola, Aaron",7.737575860515309,0.7322246203169632,[ 6.90477562 30.11859556],"[[ 2.20011295 -0.33571703]
 [-0.33571703  4.47838651]]",0.26777537968303683,[-3.48456013 33.62532012],"[[1.12211068 0.41570652]
 [0.41570652 4.9021107 ]]"
11,"Ray, Robbie",7.774662855287349,0.5280965694779148,[ 1.45589768 40.03877985],"[[2.50617349 0.41927741]
 [0.41927741 4.08843107]]",0.4719034305220853,[-7.24103334 32.58991795],"[[ 2.60314051 -0.12444978]
 [-0.12444978  3.42217784]]"
21,"Scherzer, Max",7.881638182312051,0.7131986792785299,[ 5.92489374 30.38217186],"[[ 3.14461019 -1.08624268]
 [-1.08624268  3.70688411]]",0.2868013207214696,[-7.44305538 28.6483651 ],"[[ 2.30100711 -0.52168284]
 [-0.52168284  3.47548617]]"
34,"Ryan, Joe",7.889704664469867,0.5900437509246953,[ 6.60800857 34.95404194],"[[ 2.45576097 -0.74953558]
 [-0.74953558  4.14023914]]",0.40995624907530376,[-4.81311142 37.19246659],"[[ 2.27289881 -0.58967581]
 [-0.58967581  4.08044311]]"
39,"Mahle, Tyler",8.03758202406991,0.6173577410601262,[ 7.48919247 32.5292873 ],"[[ 2.62748974 -0.92991035]
 [-0.92991035  4.19752607]]",0.382642258939874,[-3.63282783 38.0838233 ],"[[ 2.42861894 -0.13766187]
 [-0.13766187  3.89949787]]"
20,"Quintana, José",8.056360175979515,0.5625128897323857,[ 1.98643033 40.91127664],"[[2.11644389 0.7603502 ]
 [0.7603502  5.52561695]]",0.43748711026761383,[-7.69213862 35.86021387],"[[1.79081936 0.41807006]
 [0.41807006 4.34544222]]"
18,"Gausman, Kevin",8.162611781762951,0.5150613346960504,[ 3.21029809 30.09660867],"[[ 2.08752309 -0.98000336]
 [-0.98000336  4.81192966]]",0.4849386653039496,[-7.13166695 30.81355922],"[[ 2.26727842 -0.88288675]
 [-0.88288675  4.80889863]]"
0,"Wheeler, Zack",8.175243761576851,0.6559855247304842,[ 5.15703881 33.00306146],"[[ 3.02167626 -0.81993299]
 [-0.81993299  4.07315172]]",0.34401447526951623,[ 1.88360785 32.64392748],"[[ 2.71497478 -1.02597034]
 [-1.02597034  3.98691134]]"
14,"Bieber, Shane",8.25076938160188,0.455511956045493,[ 8.81496742 30.49000191],"[[ 1.44718382 -0.74388101]
 [-0.74388101  6.11487353]]",0.5444880439545071,[1.56869490e-02 3.46908035e+01],"[[ 2.28216893 -1.15645052]
 [-1.15645052  4.94857364]]"
30,"Kaprielian, James",8.266954041673015,0.4060508133878696,[10.94949915 29.17321653],"[[2.72628759 0.9460436 ]
 [0.9460436  2.99111921]]",0.5939491866121309,[-1.20190269 35.97379367],"[[4.55152558 0.01228835]
 [0.01228835 3.97064427]]"
1,"Verlander, Justin",8.272809247323991,0.6207932143958401,[ 5.59838217 35.4985718 ],"[[ 2.07343264 -0.24153704]
 [-0.24153704  5.19245369]]",0.3792067856041602,[-3.95643631 38.33722316],"[[1.77056472 0.24032802]
 [0.24032802 5.73460467]]"
37,"Rogers, Trevor",8.384064355508023,0.4416131299800586,[ 3.29101281 38.64327047],"[[ 3.75858729 -0.09291127]
 [-0.09291127  2.97838523]]",0.5583868700199409,[-3.70991922 27.38939528],"[[ 3.80523066 -0.22512583]
 [-0.22512583  3.82149651]]"
2,"Javier, Cristian",8.43125042140386,0.6055363406742091,[ 4.60961552 36.04571246],"[[ 2.22298689 -0.88606746]
 [-0.88606746  5.51323113]]",0.39446365932579075,[-4.91649838 37.42709213],"[[ 1.86827922 -0.82358179]
 [-0.82358179  5.62833692]]"
25,"Gray, Jon",8.438274638879346,0.6216202914584167,[ 7.06266872 29.32835212],"[[ 3.19071445 -0.60225747]
 [-0.60225747  4.55546357]]",0.3783797085415827,[-4.60048249 33.45668902],"[[ 2.00199798 -0.27683916]
 [-0.27683916  5.08349086]]"
4,"Urquidy, José",8.492497417727916,0.635835444443163,[ 6.84690275 32.75553328],"[[ 2.19653268 -0.84021509]
 [-0.84021509  5.90465791]]",0.36416455555683686,[-3.52323528 36.78041259],"[[ 1.83600831 -0.46643206]
 [-0.46643206  5.15277069]]"
35,"Rodón, Carlos",8.516215195078491,0.6234880895499538,[ 6.36664053 37.044305  ],"[[1.9552391  0.6297388 ]
 [0.6297388  5.83013146]]",0.3765119104500457,[-3.024053   36.08739561],"[[1.63200808 0.52336286]
 [0.52336286 5.90220219]]"
23,"Gonzales, Marco",8.579807697967755,0.3296407435388528,[ 6.65839278 29.31750445],"[[2.34393265 1.07520391]
 [1.07520391 5.00500393]]",0.6703592564611472,[-5.52414205 39.02356067],"[[3.09533205 1.6146091 ]
 [1.6146091  5.09279677]]"
9,"Taillon, Jameson",8.622697963929431,0.6045345390345785,[ 7.01986672 29.57944251],"[[ 1.93105821 -0.60623073]
 [-0.60623073  5.53568007]]",0.39546546096542123,[-2.44704192 35.94239445],"[[ 2.05801556 -0.92540361]
 [-0.92540361  6.25110452]]"
19,"Manoah, Alek",8.645386295008711,0.6400496247151491,[ 3.04267084 32.73645485],"[[ 2.32279117 -1.83317194]
 [-1.83317194  6.05356141]]",0.35995037528485035,[-6.07202664 31.96799469],"[[ 2.14540174 -2.30296062]
 [-2.30296062  5.35778995]]"
36,"Gray, Josiah",8.820910976886164,0.5719512141097995,[ 4.55712256 31.57728383],"[[ 3.28099818 -0.47610228]
 [-0.47610228  5.72852582]]",0.42804878589020046,[-7.69939531 34.22668919],"[[ 2.56288137 -0.33526951]
 [-0.33526951  4.3598149 ]]"
